G-peak omega	2D-peak omega
1583.234797	2722.142216	
1472.195021	2723.610947	
1328.447013	2727.502898	
1587.346685	2726.973951	
1587.99358	2719.700545	
1583.172109	2718.492014	
1584.588795	2717.983286	
1582.550925	2718.305512	
1581.805164	2717.718828	
1584.218841	2718.070075	
1582.846831	2717.307386	
1583.584619	2717.605028	
1583.026651	2717.770238	
1583.792818	2717.886038	
1582.908574	2719.777374	
1486.767081	2719.492504	
1381.93862	2718.27477	
1581.012675	2718.435207	
1584.422211	2720.094605	
1366.493	2722.194833	
1586.03155	2728.233366	
1583.74522	2717.61223	
1583.549187	2716.996015	
1582.154426	2716.157075	
1581.117501	2716.377213	
1582.333276	2717.561503	
1581.817632	2715.387647	
1582.571436	2715.68973	
1582.666642	2716.431864	
1582.079584	2716.502706	
1582.898576	2720.018547	
1334.74376	2718.121072	
1583.119939	2719.074694	
1583.798263	2718.845984	
1484.354848	2718.787023	
1486.603868	2720.181865	
1584.523152	2720.277591	
1580.395383	2719.811187	
1580.578282	2721.718991	
1487.596755	2721.996252	
1588.106405	2726.070997	
1585.464699	2721.56712	
1467.694674	2718.551611	
1583.518569	2716.984597	
1583.318578	2716.529885	
1580.470527	2716.388132	
1580.556372	2716.5839	
1581.499839	2713.661335	
1581.517089	2714.53739	
1582.553207	2713.622543	
1581.691443	2715.687831	
1581.961818	2717.401238	
1490.007851	2716.937408	
1166.306724	2718.439463	
1584.225107	2718.279344	
1582.427145	2722.097532	
1582.906893	2723.239172	
1471.466722	2724.464299	
1585.788168	2725.454059	
1585.185096	2724.863593	
1585.328947	2724.697733	
1584.923939	2720.983219	
1586.772239	2720.533966	
1583.041507	2718.226953	
1469.734151	2717.525229	
1581.453632	2716.746481	
1582.127559	2715.839435	
1581.051872	2714.218762	
1580.461346	2713.669212	
1580.25133	2713.158018	
1580.855362	2717.595703	
1579.504104	2719.612696	
1581.852183	2718.97385	
1588.177347	2720.801144	
1584.559886	2723.086813	
1471.013052	2723.097689	
1585.335901	2723.286647	
1582.554862	2724.432676	
1583.985948	2724.379295	
1582.106989	2718.173695	
1581.156854	2716.26669	
1582.337253	2714.073825	
1581.422885	2712.764953	
1581.226103	2714.856941	
1579.948986	2715.938452	
1582.151204	2719.73052	
1585.159475	2721.109456	
1584.819764	2721.673819	
1582.500474	2721.421816	
1581.282622	2721.705465	
1585.982598	2721.895786	
1487.215534	2722.255201	
1584.227647	2721.896921	
1044.062343	2722.148389	
