Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
322.9623202	922	322.9623202	nan	
324.8210077	919	324.8210077	nan	
326.6793288	920	326.6793288	nan	
328.5372838	922	328.5372838	nan	
330.3948726	920	330.3948726	nan	
332.2520953	919	332.2520953	nan	
334.1089521	927	334.1089521	nan	
335.965443	918	335.965443	nan	
337.8215682	910	337.8215682	nan	
339.6773277	913	339.6773277	nan	
341.5327216	910	341.5327216	nan	
343.38775	906	343.38775	nan	
345.2424129	904	345.2424129	nan	
347.0967106	906	347.0967106	nan	
348.950643	916	348.950643	nan	
350.8042102	910	350.8042102	nan	
352.6574124	910	352.6574124	nan	
354.5102497	909	354.5102497	nan	
356.362722	911	356.362722	nan	
358.2148296	911	358.2148296	nan	
360.0665724	910	360.0665724	nan	
361.9179507	911	361.9179507	nan	
363.7689644	908	363.7689644	nan	
365.6196137	915	365.6196137	nan	
367.4698986	907	367.4698986	nan	
369.3198193	906	369.3198193	nan	
371.1693758	910	371.1693758	nan	
373.0185682	903	373.0185682	nan	
374.8673967	898	374.8673967	nan	
376.7158612	903	376.7158612	nan	
378.5639619	899	378.5639619	nan	
380.4116989	895	380.4116989	nan	
382.2590723	901	382.2590723	nan	
384.1060821	904	384.1060821	nan	
385.9527285	900.5	385.9527285	nan	
387.7990115	897	387.7990115	nan	
389.6449312	896	389.6449312	nan	
391.4904878	897	391.4904878	nan	
393.3356812	891	393.3356812	nan	
395.1805116	896	395.1805116	nan	
397.0249791	892	397.0249791	nan	
398.8690837	896	398.8690837	nan	
400.7128256	894	400.7128256	nan	
402.5562049	889	402.5562049	nan	
404.3992215	895	404.3992215	nan	
406.2418757	899	406.2418757	nan	
408.0841675	893	408.0841675	nan	
409.926097	892	409.926097	nan	
411.7676642	899	411.7676642	nan	
413.6088694	899	413.6088694	nan	
415.4497125	889	415.4497125	nan	
417.2901936	887	417.2901936	nan	
419.1303129	896	419.1303129	nan	
420.9700704	891	420.9700704	nan	
422.8094662	891	422.8094662	nan	
424.6485004	893	424.6485004	nan	
426.4871731	893.5	426.4871731	nan	
428.3254843	894	428.3254843	nan	
430.1634343	898	430.1634343	nan	
432.0010229	898	432.0010229	nan	
433.8382505	894	433.8382505	nan	
435.6751169	895	435.6751169	nan	
437.5116224	893	437.5116224	nan	
439.3477669	889	439.3477669	nan	
441.1835507	889	441.1835507	nan	
443.0189737	888	443.0189737	nan	
444.8540361	884	444.8540361	nan	
446.688738	886	446.688738	nan	
448.5230794	880	448.5230794	nan	
450.3570604	879	450.3570604	nan	
452.1906811	878	452.1906811	nan	
454.0239417	880	454.0239417	nan	
455.8568421	877	455.8568421	nan	
457.6893825	869	457.6893825	nan	
459.521563	872	459.521563	nan	
461.3533836	878	461.3533836	nan	
463.1848445	879	463.1848445	nan	
465.0159457	878	465.0159457	nan	
466.8466874	875	466.8466874	nan	
468.6770695	882	468.6770695	nan	
470.5070922	886	470.5070922	nan	
472.3367557	886	472.3367557	nan	
474.1660598	891	474.1660598	nan	
475.9950049	887	475.9950049	nan	
477.8235908	892	477.8235908	nan	
479.6518178	897	479.6518178	nan	
481.479686	896	481.479686	nan	
483.3071953	895	483.3071953	nan	
485.1343459	901	485.1343459	nan	
486.9611379	907	486.9611379	nan	
488.7875714	907	488.7875714	nan	
490.6136464	912	490.6136464	nan	
492.439363	923	492.439363	nan	
494.2647214	939	494.2647214	nan	
496.0897216	950	496.0897216	nan	
497.9143637	962	497.9143637	nan	
499.7386478	981	499.7386478	nan	
501.5625739	1016	501.5625739	nan	
503.3861422	1041	503.3861422	nan	
505.2093528	1093	505.2093528	nan	
507.0322057	1173	507.0322057	nan	
508.854701	1269	508.854701	nan	
510.6768388	1439	510.6768388	nan	
512.4986193	1704	512.4986193	nan	
514.3200424	2165	514.3200424	nan	
516.1411082	3208	516.1411082	nan	
517.961817	4906	517.961817	nan	
519.7821686	6009	519.7821686	nan	
521.6021633	5945	521.6021633	nan	
523.4218012	4499	523.4218012	nan	
525.2410822	3210	525.2410822	nan	
527.0600065	2466	527.0600065	nan	
528.8785742	1917	528.8785742	nan	
530.6967853	1588	530.6967853	nan	
532.51464	1400	532.51464	nan	
534.3321383	1296	534.3321383	nan	
536.1492804	1230	536.1492804	nan	
537.9660663	1177	537.9660663	nan	
539.782496	1113	539.782496	nan	
541.5985697	1082	541.5985697	nan	
543.4142875	1080	543.4142875	nan	
545.2296495	1051	545.2296495	nan	
547.0446557	1007	547.0446557	nan	
548.8593062	994	548.8593062	nan	
550.6736011	994	550.6736011	nan	
552.4875406	986	552.4875406	nan	
554.3011246	967	554.3011246	nan	
556.1143532	965	556.1143532	nan	
557.9272267	959	557.9272267	nan	
559.739745	946	559.739745	nan	
561.5519082	941	561.5519082	nan	
563.3637164	932	563.3637164	nan	
565.1751697	930	565.1751697	nan	
566.9862682	924	566.9862682	nan	
568.797012	916	568.797012	nan	
570.6074011	917	570.6074011	nan	
572.4174357	917	572.4174357	nan	
574.2271158	912	574.2271158	nan	
576.0364415	909	576.0364415	nan	
577.845413	911	577.845413	nan	
579.6540302	902	579.6540302	nan	
581.4622933	901	581.4622933	nan	
583.2702023	894	583.2702023	nan	
585.0777574	902	585.0777574	nan	
586.8849586	911	586.8849586	nan	
588.6918061	903	588.6918061	nan	
590.4982998	898	590.4982998	nan	
592.3044399	893	592.3044399	nan	
594.1102265	895	594.1102265	nan	
595.9156597	893	595.9156597	nan	
597.7207395	893.5	597.7207395	nan	
599.525466	894	599.525466	nan	
