G-peak FWHM	2D-peak FWHM
3.989344443	25.57381687	
11.26303569	23.481146	
13.69154351	17.9889955	
14.20867861	18.33865514	
13.70811117	17.60397385	
12.56750905	18.43723301	
15.60347482	22.24439052	
18.46849424	24.98435215	
18.71785742	29.13647417	
11.02278145	29.24038291	
9.954353729	23.5356761	
9.634542671	21.08318689	
9.643344405	23.02075434	
9.698232435	23.24028151	
9.943681996	22.25092528	
9.36058161	23.33796693	
9.557522858	22.65309398	
10.55666077	21.62848473	
14.88350587	24.91134107	
15.85530385	31.48505365	
18.62245712	28.72733277	
14.87375061	20.54739876	
15.13243266	16.90526434	
11.85850208	17.40145212	
12.86446557	16.88070717	
14.28256088	18.3906519	
14.57094572	20.89449846	
13.90266977	21.3460394	
14.1697907	19.28961508	
11.5292483	19.48924705	
10.19570685	21.51474267	
9.036270565	23.58483909	
9.385156172	23.39177201	
11.07630831	22.90751947	
9.692016019	22.93507282	
9.698227023	22.4664341	
10.36667968	21.98468267	
13.15592059	21.23544325	
15.16513098	21.35742427	
17.22319066	28.73868951	
17.97279742	35.67390416	
15.63723982	24.6061007	
14.19853015	18.32391579	
13.43337114	17.97692889	
14.81882639	18.3925712	
13.89625637	17.23136692	
14.32826837	17.35172139	
12.36645297	17.20858033	
11.98983977	19.14365309	
13.85340786	16.43088489	
14.20399461	17.01168015	
10.57772648	19.1392839	
10.19624639	21.25413424	
10.05821741	22.37444889	
9.55897842	22.21675967	
10.55639394	23.17740417	
20.34234515	31.42951402	
12.67226559	20.33708714	
18.01244648	22.53253204	
17.59896871	21.67488818	
16.94638744	27.62663823	
15.53984742	19.71132735	
13.55899434	17.36344303	
13.4913743	16.68813235	
14.3638768	17.37686721	
14.41733332	17.26006847	
13.02987396	15.80496948	
12.34024889	16.64123757	
14.86876994	19.29008163	
13.52258551	15.83953376	
14.39950211	16.61281364	
12.91246322	17.2978791	
12.29692511	18.14346246	
11.41044915	19.30818505	
10.55041815	22.89198261	
11.33055528	28.51951032	
7.708570677	15.70611856	
14.81111736	19.12546912	
21.04964654	29.06155245	
19.01662969	35.42446443	
14.58908215	21.15195777	
20.06836066	26.42136214	
14.52096714	21.99252443	
14.38349586	23.05701782	
13.31397571	20.6045145	
16.58332436	18.69605985	
14.29248275	17.38338564	
14.04101763	16.82172953	
13.37656241	16.93629304	
12.10973078	16.44718797	
13.21026667	16.31504024	
13.03535932	16.03655375	
14.20511536	17.03710185	
12.63757404	17.53248119	
16.20745216	16.95301439	
13.10154435	18.64764751	
12.68355903	19.72366872	
14.57077409	26.38369869	
21.47459264	37.86379607	
11.45227895	16.77658641	
16.67670873	18.00456751	
15.54368263	20.01006768	
14.79421531	23.63929404	
14.47591014	19.78510788	
17.48040348	23.47667889	
14.17491669	21.79087827	
14.63321299	21.35066937	
15.3076571	20.03787996	
14.32941265	18.17807577	
13.98555126	17.2206688	
12.03544795	17.27422501	
13.20638116	17.29097837	
13.66989998	16.39425791	
12.81967957	17.1387874	
13.77915702	16.55407778	
12.73646895	17.39696814	
12.24820983	16.65194142	
14.43661103	17.6039709	
13.54003087	18.41156375	
15.75793093	19.21543931	
19.37312842	35.10246696	
