Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
1205.559991	838	1205.559991	nan	
1206.753014	840	1206.753014	nan	
1207.94584	840	1207.94584	nan	
1209.138469	838	1209.138469	nan	
1210.330901	840	1210.330901	nan	
1211.523137	839	1211.523137	nan	
1212.715175	839	1212.715175	nan	
1213.907018	839	1213.907018	nan	
1215.098663	838	1215.098663	nan	
1216.290112	840	1216.290112	nan	
1217.481364	839	1217.481364	nan	
1218.67242	839	1218.67242	nan	
1219.863279	839	1219.863279	nan	
1221.053942	839	1221.053942	nan	
1222.244408	841	1222.244408	nan	
1223.434678	839	1223.434678	nan	
1224.624752	840	1224.624752	nan	
1225.814629	839	1225.814629	nan	
1227.00431	839	1227.00431	nan	
1228.193794	840	1228.193794	nan	
1229.383083	839	1229.383083	nan	
1230.572175	838	1230.572175	nan	
1231.761071	839	1231.761071	nan	
1232.949771	839	1232.949771	nan	
1234.138275	839	1234.138275	nan	
1235.326583	836	1235.326583	nan	
1236.514695	837	1236.514695	nan	
1237.702611	838	1237.702611	nan	
1238.890331	838	1238.890331	nan	
1240.077855	839	1240.077855	nan	
1241.265183	839	1241.265183	nan	
1242.452316	839	1242.452316	nan	
1243.639253	839	1243.639253	nan	
1244.825994	838	1244.825994	nan	
1246.012539	839	1246.012539	nan	
1247.198888	839	1247.198888	nan	
1248.385042	839	1248.385042	nan	
1249.571	839	1249.571	nan	
1250.756763	840	1250.756763	838.6832719	
1251.94233	839	1251.94233	838.6846052	
1253.127702	838	1253.127702	838.6859848	
1254.312878	839	1254.312878	838.6874128	
1255.497859	840	1255.497859	838.6888915	
1256.682644	838	1256.682644	838.6904233	
1257.867234	839	1257.867234	838.6920109	
1259.051629	840	1259.051629	838.6936569	
1260.235829	840	1260.235829	838.6953642	
1261.419833	841	1261.419833	838.697136	
1262.603642	837	1262.603642	838.6989755	
1263.787256	840	1263.787256	838.7008861	
1264.970674	840	1264.970674	838.7028717	
1266.153898	837	1266.153898	838.7049362	
1267.336926	840	1267.336926	838.7070837	
1268.51976	839	1268.51976	838.7093189	
1269.702398	838	1269.702398	838.7116466	
1270.884842	839	1270.884842	838.7140718	
1272.06709	839	1272.06709	838.7166001	
1273.249144	839	1273.249144	838.7192376	
1274.431003	841	1274.431003	838.7219904	
1275.612667	837	1275.612667	838.7248655	
1276.794136	839	1276.794136	838.7278701	
1277.975411	839	1277.975411	838.7310122	
1279.156491	840	1279.156491	838.7343003	
1280.337376	839	1280.337376	838.7377435	
1281.518066	838	1281.518066	838.7413518	
1282.698562	838	1282.698562	838.7451358	
1283.878863	840	1283.878863	838.7491071	
1285.05897	839	1285.05897	838.7532784	
1286.238882	840	1286.238882	838.7576632	
1287.4186	840	1287.4186	838.7622763	
1288.598124	838	1288.598124	838.7671338	
1289.777453	839	1289.777453	838.7722534	
1290.956587	839	1290.956587	838.7776541	
1292.135528	842	1292.135528	838.7833569	
1293.314274	840	1293.314274	838.7893848	
1294.492825	838	1294.492825	838.7957629	
1295.671183	840	1295.671183	838.8025188	
1296.849346	838	1296.849346	838.8096829	
1298.027316	839	1298.027316	838.8172888	
1299.205091	838	1299.205091	838.8253734	
1300.382672	839	1300.382672	838.8339778	
1301.560059	839	1301.560059	838.8431474	
1302.737252	838	1302.737252	838.8529328	
1303.914251	841	1303.914251	838.8633903	
1305.091056	841	1305.091056	838.8745828	
1306.267668	838	1306.267668	838.8865807	
1307.444085	838	1307.444085	838.8994632	
1308.620309	838	1308.620309	838.9133191	
1309.796339	839	1309.796339	838.9282489	
1310.972175	840	1310.972175	838.9443665	
1312.147817	839	1312.147817	838.961801	
1313.323266	838	1313.323266	838.9806997	
1314.498521	840	1314.498521	839.001231	
1315.673582	839	1315.673582	839.0235881	
1316.84845	840	1316.84845	839.0479938	
1318.023124	839	1318.023124	839.0747057	
1319.197605	837	1319.197605	839.1040233	
1320.371893	838	1320.371893	839.1362962	
1321.545987	841	1321.545987	839.1719345	
1322.719887	841	1322.719887	839.211422	
1323.893594	839	1323.893594	839.2553323	
1325.067108	840	1325.067108	839.3043499	
1326.240429	840	1326.240429	839.3592965	
1327.413556	841	1327.413556	839.4211658	
1328.58649	840	1328.58649	839.4911681	
1329.759231	839	1329.759231	839.5707893	
1330.931779	838	1330.931779	839.6618698	
1332.104133	839	1332.104133	839.7667108	
1333.276295	840	1333.276295	839.888219	
1334.448263	839	1334.448263	840.0301076	
1335.620039	840	1335.620039	840.1971798	
1336.791621	840	1336.791621	840.3957336	
1337.963011	840	1337.963011	840.6341539	
1339.134208	839	1339.134208	840.923794	
1340.305212	841	1340.305212	841.2803213	
1341.476023	841	1341.476023	841.7258246	
1342.646641	841	1342.646641	842.2922112	
1343.817066	843	1343.817066	843.0268694	
1344.987299	843	1344.987299	844.0024618	
1346.157339	839	1346.157339	845.334593	
1347.327186	843	1347.327186	847.2152296	
1348.496841	845	1348.496841	849.9792942	
1349.666303	851	1349.666303	854.2447155	
1350.835573	858	1350.835573	861.2202386	
1352.00465	872	1352.00465	873.3752158	
1353.173535	901	1353.173535	895.5120108	
1354.342227	934	1354.342227	932.4266808	
1355.510727	961	1355.510727	963.2979491	
1356.679034	942	1356.679034	942.174686	
1357.847149	904	1357.847149	902.8621826	
1359.015072	882	1359.015072	877.461218	
1360.182803	864	1360.182803	863.5002638	
1361.350341	857	1361.350341	855.5973508	
1362.517687	849	1362.517687	850.8345258	
1363.684841	845	1363.684841	847.7867013	
1364.851803	843	1364.851803	845.734474	
1366.018573	842	1366.018573	844.2931955	
1367.18515	840	1367.18515	843.2451217	
1368.351536	840	1368.351536	842.4605384	
1369.51773	841	1369.51773	841.8586736	
1370.683731	841	1370.683731	841.3872726	
1371.849541	839	1371.849541	841.0113958	
1373.015159	839	1373.015159	840.7070019	
1374.180585	839	1374.180585	840.4571285	
1375.345819	840	1375.345819	840.2495416	
1376.510862	841	1376.510862	840.0752433	
1377.675712	840	1377.675712	839.9275	
1378.840371	840	1378.840371	839.8011937	
1380.004839	839	1380.004839	839.6923791	
1381.169115	840	1381.169115	839.5979765	
1382.333199	842	1382.333199	839.5155538	
1383.497091	840	1383.497091	839.44317	
1384.660792	837	1384.660792	839.3792613	
1385.824302	838	1385.824302	839.3225565	
1386.98762	838	1386.98762	839.2720135	
1388.150746	839	1388.150746	839.2267719	
1389.313682	841	1389.313682	839.1861163	
1390.476426	840	1390.476426	839.1494478	
1391.638978	839	1391.638978	839.1162619	
1392.801339	841	1392.801339	839.0861317	
1393.96351	839	1393.96351	839.0586934	
1395.125488	837	1395.125488	839.0336359	
1396.287276	837	1396.287276	839.0106916	
1397.448872	840	1397.448872	838.9896296	
1398.610278	842	1398.610278	838.9702496	
1399.771492	840	1399.771492	838.9523771	
1400.932515	839	1400.932515	838.9358599	
1402.093348	840	1402.093348	838.9205643	
1403.253989	838	1403.253989	838.9063728	
1404.414439	839	1404.414439	838.8931816	
1405.574699	839	1405.574699	838.880899	
1406.734767	838	1406.734767	838.8694434	
1407.894645	839	1407.894645	838.8587421	
1409.054332	839	1409.054332	838.8487303	
1410.213828	838	1410.213828	838.8393502	
1411.373134	839	1411.373134	838.8305495	
1412.532248	839	1412.532248	838.8222817	
1413.691173	842	1413.691173	838.8145044	
1414.849906	839	1414.849906	838.8071796	
1416.008449	839	1416.008449	838.800273	
1417.166801	839	1417.166801	838.7937532	
1418.324963	839	1418.324963	838.7875919	
1419.482934	839	1419.482934	838.7817633	
1420.640715	838	1420.640715	838.7762438	
1421.798306	838	1421.798306	838.7710119	
1422.955706	840	1422.955706	838.7660481	
1424.112915	839	1424.112915	838.7613342	
1425.269935	840	1425.269935	838.7568539	
1426.426764	839	1426.426764	838.7525918	
1427.583403	839	1427.583403	838.7485341	
1428.739852	840	1428.739852	838.7446679	
1429.89611	839	1429.89611	838.7409813	
1431.052179	839	1431.052179	838.7374633	
1432.208057	838	1432.208057	838.7341038	
1433.363745	839	1433.363745	838.7308935	
1434.519243	838	1434.519243	838.7278236	
1435.674551	840	1435.674551	838.724886	
1436.82967	841	1436.82967	838.7220733	
1437.984598	839	1437.984598	838.7193785	
1439.139336	840	1439.139336	838.716795	
1440.293885	840	1440.293885	838.7143168	
1441.448243	840	1441.448243	838.7119383	
1442.602412	839	1442.602412	838.7096541	
