2D-peak FWHM	#
12.24354258	3	
12.89946819	0	
13.55539381	0	
14.21131943	3	
14.86724504	11	
15.52317066	299	
16.17909627	585	
16.83502189	314	
17.49094751	162	
18.14687312	109	
18.80279874	72	
19.45872436	69	
20.11464997	49	
20.77057559	40	
21.4265012	25	
22.08242682	38	
22.73835244	26	
23.39427805	23	
24.05020367	12	
24.70612929	15	
25.3620549	8	
26.01798052	9	
26.67390613	7	
27.32983175	10	
27.98575737	4	
28.64168298	8	
29.2976086	5	
29.95353422	4	
30.60945983	3	
31.26538545	2	
31.92131107	2	
32.57723668	1	
33.2331623	1	
33.88908791	1	
34.54501353	1	
35.20093915	2	
35.85686476	0	
36.51279038	0	
37.168716	0	
37.82464161	1	
38.48056723	0	
39.13649284	1	
39.79241846	0	
40.44834408	0	
41.10426969	0	
41.76019531	0	
42.41612093	0	
43.07204654	0	
43.72797216	0	
44.38389777	1	
45.03982339	0	
45.69574901	0	
46.35167462	0	
47.00760024	0	
47.66352586	0	
48.31945147	0	
48.97537709	0	
49.6313027	0	
50.28722832	1	
50.94315394	 	
