G-peak omega	#
1468.789874	2	
1469.676106	0	
1470.562338	1	
1471.448569	1	
1472.334801	1	
1473.221032	0	
1474.107264	0	
1474.993495	0	
1475.879727	0	
1476.765958	0	
1477.65219	0	
1478.538421	0	
1479.424653	0	
1480.310885	0	
1481.197116	0	
1482.083348	0	
1482.969579	0	
1483.855811	0	
1484.742042	0	
1485.628274	0	
1486.514505	0	
1487.400737	0	
1488.286968	0	
1489.1732	0	
1490.059432	0	
1490.945663	0	
1491.831895	0	
1492.718126	0	
1493.604358	0	
1494.490589	0	
1495.376821	0	
1496.263052	0	
1497.149284	0	
1498.035515	0	
1498.921747	1	
1499.807979	0	
1500.69421	0	
1501.580442	0	
1502.466673	0	
1503.352905	0	
1504.239136	0	
1505.125368	0	
1506.011599	0	
1506.897831	0	
1507.784063	0	
1508.670294	0	
1509.556526	0	
1510.442757	0	
1511.328989	0	
1512.21522	0	
1513.101452	0	
1513.987683	0	
1514.873915	0	
1515.760146	0	
1516.646378	0	
1517.53261	0	
1518.418841	0	
1519.305073	0	
1520.191304	0	
1521.077536	0	
1521.963767	0	
1522.849999	0	
1523.73623	0	
1524.622462	0	
1525.508693	0	
1526.394925	0	
1527.281157	0	
1528.167388	0	
1529.05362	0	
1529.939851	0	
1530.826083	0	
1531.712314	0	
1532.598546	0	
1533.484777	0	
1534.371009	0	
1535.25724	0	
1536.143472	0	
1537.029704	0	
1537.915935	0	
1538.802167	0	
1539.688398	0	
1540.57463	0	
1541.460861	0	
1542.347093	0	
1543.233324	0	
1544.119556	0	
1545.005787	0	
1545.892019	0	
1546.778251	0	
1547.664482	0	
1548.550714	0	
1549.436945	0	
1550.323177	0	
1551.209408	0	
1552.09564	0	
1552.981871	0	
1553.868103	0	
1554.754334	0	
1555.640566	0	
1556.526798	0	
1557.413029	0	
1558.299261	0	
1559.185492	0	
1560.071724	0	
1560.957955	0	
1561.844187	0	
1562.730418	0	
1563.61665	0	
1564.502881	0	
1565.389113	0	
1566.275345	0	
1567.161576	0	
1568.047808	0	
1568.934039	0	
1569.820271	0	
1570.706502	0	
1571.592734	0	
1572.478965	1	
1573.365197	1	
1574.251429	1	
1575.13766	0	
1576.023892	2	
1576.910123	7	
1577.796355	12	
1578.682586	31	
1579.568818	87	
1580.455049	193	
1581.341281	532	
1582.227512	610	
1583.113744	290	
1583.999976	83	
1584.886207	39	
1585.772439	21	
1586.65867	5	
1587.544902	2	
1588.431133	2	
1589.317365	1	
1590.203596	0	
1591.089828	0	
1591.976059	0	
1592.862291	0	
1593.748523	0	
1594.634754	1	
1595.520986	 	
