G-peak omega	2D-peak omega
1577.169704	2667.215871	
1577.280147	2672.429573	
1580.749214	2679.274297	
1581.592861	2681.620149	
1583.034736	2682.820286	
1582.075747	2681.3151	
1578.258154	2677.75357	
1576.618202	2674.950691	
1579.029444	2676.80972	
1583.012859	2678.656567	
1584.90654	2682.746247	
1586.01194	2682.917105	
1586.056892	2683.514633	
1586.180528	2683.799331	
1586.127098	2683.33575	
1585.754094	2682.866897	
1584.869721	2682.517969	
1584.534673	2681.30196	
1578.242994	2672.601854	
1577.783616	2672.441177	
1580.181984	2675.263874	
1582.094683	2681.459133	
1582.341329	2682.667984	
1581.583159	2682.439935	
1580.87891	2680.87306	
1580.256639	2679.823736	
1579.660696	2678.166996	
1580.583133	2681.444525	
1583.503909	2682.603657	
1584.950784	2684.68907	
1585.865767	2685.705123	
1586.485352	2685.914433	
1586.756297	2685.648685	
1586.339015	2684.838701	
1585.94163	2683.625417	
1584.774413	2682.209913	
1583.50083	2680.174875	
1580.673287	2677.243037	
1579.215764	2680.371624	
1582.782724	2686.357764	
1587.647381	2695.225833	
1584.84927	2688.976003	
1583.206765	2685.384764	
1582.942906	2683.642887	
1581.373274	2682.139982	
1581.544897	2681.456702	
1580.561986	2681.097382	
1581.913015	2682.321679	
1581.663334	2684.421463	
1583.700644	2685.544294	
1585.458719	2687.410257	
1586.039522	2687.604353	
1586.623836	2687.254242	
1586.870052	2687.444965	
1586.146361	2685.365242	
1584.689767	2682.019787	
1579.509495	2677.408079	
1580.263063	2680.230575	
1582.962768	2686.575119	
1585.344943	2688.218502	
1589.477946	2698.27846	
1585.326833	2690.951815	
1583.681378	2686.26623	
1582.644256	2684.712416	
1582.044572	2683.1842	
1581.415401	2682.562709	
1581.200834	2682.163425	
1581.479692	2682.290373	
1582.180321	2683.80378	
1583.480305	2685.25504	
1583.488901	2686.158163	
1584.109422	2686.921719	
1585.318616	2687.028493	
1585.915909	2689.358612	
1586.405718	2690.022613	
1584.638876	2682.988026	
1472.365646	2678.845514	
1580.714915	2679.500678	
1579.173127	2680.477628	
1583.442484	2687.269677	
1583.024444	2685.145756	
1584.169179	2687.460153	
1584.435257	2686.322353	
1586.149344	2690.793307	
1583.564014	2687.732659	
1583.413665	2685.607383	
1582.349037	2683.581874	
1581.873594	2682.471062	
1580.846195	2682.541641	
1581.501373	2682.433011	
1581.660334	2682.531071	
1581.71631	2683.531127	
1582.479146	2684.051272	
1582.882944	2684.674451	
1582.592795	2685.311728	
1583.641459	2684.636192	
1583.805874	2685.829932	
1585.792361	2689.490529	
1583.385983	2683.922921	
1579.930995	2680.390829	
1581.040666	2680.296976	
1581.904607	2683.445244	
1585.139639	2690.397982	
1583.472821	2685.353691	
1581.780207	2682.815544	
1581.800008	2682.669152	
1582.174117	2682.578388	
1581.58593	2682.693615	
1581.599351	2682.649361	
1581.687756	2681.908474	
1581.400685	2681.829002	
1581.381888	2682.160422	
1581.120595	2681.979343	
1581.713581	2682.311691	
1581.374951	2682.987702	
1581.948438	2683.168738	
1582.492041	2683.127601	
1581.422735	2682.677483	
1581.468247	2681.582917	
1579.814261	2679.027528	
1580.548303	2679.495752	
1581.843267	2680.447121	
1581.297084	2680.638048	
1580.315783	2681.062012	
1581.751189	2682.128117	
1582.737221	2684.109407	
1582.853868	2686.104523	
1583.473138	2683.980237	
1581.707345	2682.01077	
1581.890192	2681.126538	
1579.388079	2677.923764	
1578.953925	2678.254868	
1579.575595	2678.987212	
1580.613826	2680.125002	
1580.693789	2680.891243	
1580.901795	2681.043101	
1581.240431	2681.452584	
1581.137029	2681.778842	
1581.581786	2682.156636	
1582.46051	2682.791766	
1581.861146	2682.387309	
1581.003879	2681.620892	
1580.316199	2679.589829	
1578.539898	2679.203719	
1581.591011	2680.436095	
1581.76155	2681.115816	
1581.07209	2681.79998	
1582.493103	2682.620334	
1583.561258	2684.030487	
1582.202932	2684.805681	
1582.570843	2684.784354	
1582.54726	2684.470672	
1582.956302	2684.284102	
1580.864972	2681.846263	
1578.35966	2676.930745	
1578.258145	2676.663394	
1579.831453	2678.3256	
1580.334889	2679.443157	
1580.238284	2679.586321	
1581.292607	2680.945165	
1581.588647	2681.376203	
1582.680106	2682.576413	
1582.776928	2682.674553	
1582.041123	2682.947437	
1582.001265	2682.070828	
1470.664003	2680.328849	
1579.168891	2679.526365	
1580.320585	2679.391817	
1580.837472	2680.671133	
1580.698889	2681.447587	
1581.915261	2682.328215	
1582.444296	2683.013585	
1582.627412	2684.17901	
1582.98645	2685.108999	
1583.154256	2685.442255	
1582.799025	2686.090144	
1584.597517	2686.994464	
1584.731453	2686.627781	
1581.362036	2683.577374	
1578.78831	2677.808085	
1579.584503	2677.292564	
1579.903897	2677.972291	
1579.889872	2679.039471	
1580.441598	2680.479618	
1581.568877	2681.313268	
1581.274471	2682.171968	
1582.36716	2682.885851	
1582.874243	2683.516606	
1595.520986	2685.182108	
1581.466927	2680.380761	
1579.489421	2679.678323	
1581.052331	2680.233099	
1581.045719	2681.351312	
1581.81222	2682.1095	
1582.683235	2682.824665	
1582.15251	2683.71848	
1583.250853	2684.7585	
1583.658319	2685.552918	
1583.740994	2685.956154	
1583.291162	2686.932171	
1584.704557	2687.581786	
1585.092431	2685.988625	
1584.026483	2684.116798	
1581.1507	2680.443067	
1579.80668	2678.660191	
1579.442197	2677.319746	
1580.390361	2678.346041	
1580.144142	2679.364721	
1581.391847	2680.716274	
1581.042964	2682.109132	
1582.239655	2683.492313	
1582.993717	2684.517317	
1581.106209	2682.436804	
1580.564427	2679.314304	
1580.503853	2679.668093	
