Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
1205.559991	839	1205.559991	nan	
1206.753014	839	1206.753014	nan	
1207.94584	840	1207.94584	nan	
1209.138469	838	1209.138469	nan	
1210.330901	839	1210.330901	nan	
1211.523137	840	1211.523137	nan	
1212.715175	841	1212.715175	nan	
1213.907018	838	1213.907018	nan	
1215.098663	838	1215.098663	nan	
1216.290112	840	1216.290112	nan	
1217.481364	838	1217.481364	nan	
1218.67242	837	1218.67242	nan	
1219.863279	839	1219.863279	nan	
1221.053942	839	1221.053942	nan	
1222.244408	839	1222.244408	nan	
1223.434678	838	1223.434678	nan	
1224.624752	840	1224.624752	nan	
1225.814629	841	1225.814629	nan	
1227.00431	838	1227.00431	nan	
1228.193794	840	1228.193794	nan	
1229.383083	840	1229.383083	nan	
1230.572175	839	1230.572175	nan	
1231.761071	839	1231.761071	nan	
1232.949771	838	1232.949771	nan	
1234.138275	840	1234.138275	nan	
1235.326583	840	1235.326583	nan	
1236.514695	839	1236.514695	nan	
1237.702611	839	1237.702611	nan	
1238.890331	838	1238.890331	nan	
1240.077855	838	1240.077855	nan	
1241.265183	839	1241.265183	nan	
1242.452316	841	1242.452316	nan	
1243.639253	839	1243.639253	nan	
1244.825994	840	1244.825994	nan	
1246.012539	839	1246.012539	nan	
1247.198888	839	1247.198888	nan	
1248.385042	839	1248.385042	nan	
1249.571	839	1249.571	nan	
1250.756763	837	1250.756763	838.7971877	
1251.94233	840	1251.94233	838.7982236	
1253.127702	839	1253.127702	838.7992953	
1254.312878	839	1254.312878	838.8004046	
1255.497859	838	1255.497859	838.8015532	
1256.682644	839	1256.682644	838.8027429	
1257.867234	838	1257.867234	838.8039758	
1259.051629	839	1259.051629	838.8052539	
1260.235829	840	1260.235829	838.8065796	
1261.419833	840	1261.419833	838.8079551	
1262.603642	839	1262.603642	838.809383	
1263.787256	840	1263.787256	838.810866	
1264.970674	839	1264.970674	838.812407	
1266.153898	838	1266.153898	838.814009	
1267.336926	839	1267.336926	838.8156753	
1268.51976	840	1268.51976	838.8174094	
1269.702398	839	1269.702398	838.8192149	
1270.884842	839	1270.884842	838.821096	
1272.06709	837	1272.06709	838.8230567	
1273.249144	840	1273.249144	838.8251017	
1274.431003	838	1274.431003	838.827236	
1275.612667	838	1275.612667	838.8294646	
1276.794136	839	1276.794136	838.8317934	
1277.975411	839	1277.975411	838.8342283	
1279.156491	837	1279.156491	838.836776	
1280.337376	839	1280.337376	838.8394434	
1281.518066	838	1281.518066	838.8422382	
1282.698562	839	1282.698562	838.8451687	
1283.878863	839	1283.878863	838.8482436	
1285.05897	838	1285.05897	838.8514728	
1286.238882	839	1286.238882	838.8548666	
1287.4186	840	1287.4186	838.8584364	
1288.598124	839	1288.598124	838.8621946	
1289.777453	839	1289.777453	838.8661547	
1290.956587	839	1290.956587	838.8703314	
1292.135528	839	1292.135528	838.8747408	
1293.314274	840	1293.314274	838.8794003	
1294.492825	839	1294.492825	838.8843294	
1295.671183	839	1295.671183	838.8895492	
1296.849346	841	1296.849346	838.895083	
1298.027316	839	1298.027316	838.9009563	
1299.205091	839	1299.205091	838.9071977	
1300.382672	840	1300.382672	838.9138384	
1301.560059	840	1301.560059	838.9209131	
1302.737252	841	1302.737252	838.9284606	
1303.914251	839	1303.914251	838.9365238	
1305.091056	839	1305.091056	838.9451508	
1306.267668	839	1306.267668	838.9543953	
1307.444085	839	1307.444085	838.9643176	
1308.620309	838	1308.620309	838.9749856	
1309.796339	839	1309.796339	838.9864757	
1310.972175	840	1310.972175	838.9988746	
1312.147817	841	1312.147817	839.0122805	
1313.323266	839	1313.323266	839.0268054	
1314.498521	838	1314.498521	839.0425772	
1315.673582	840	1315.673582	839.0597426	
1316.84845	839	1316.84845	839.0784706	
1318.023124	839	1318.023124	839.0989562	
1319.197605	839	1319.197605	839.1214264	
1320.371893	838	1320.371893	839.1461455	
1321.545987	840	1321.545987	839.1734234	
1322.719887	841	1322.719887	839.2036253	
1323.893594	840	1323.893594	839.2371836	
1325.067108	840	1325.067108	839.2746137	
1326.240429	839	1326.240429	839.3165339	
1327.413556	841	1327.413556	839.3636905	
1328.58649	841	1328.58649	839.4169911	
1329.759231	840	1329.759231	839.4775487	
1330.931779	840	1330.931779	839.5467393	
1332.104133	840	1332.104133	839.6262806	
1333.276295	839	1333.276295	839.718338	
1334.448263	839	1334.448263	839.8256725	
1335.620039	839	1335.620039	839.9518479	
