time	dz	Bias	T-B	Topo
 0.000000E+0000	 0.000000E+0000	-6.650000E-0005	 3.917882E+0001	-3.121062E+0002
 5.888000E-0004	 1.562526E+0000	-6.650000E-0005	 4.054679E+0001	-3.105437E+0002
 1.177600E-0003	 3.125017E+0000	-6.650000E-0005	 3.974068E+0001	-3.089812E+0002
 1.766400E-0003	 4.687507E+0000	-6.650000E-0005	 3.947328E+0001	-3.074187E+0002
 2.355200E-0003	 6.250033E+0000	-6.650000E-0005	 3.737524E+0001	-3.058562E+0002
 2.944000E-0003	 7.812524E+0000	-6.650000E-0005	 3.650536E+0001	-3.042937E+0002
 3.532800E-0003	 9.375015E+0000	-6.650000E-0005	 3.590626E+0001	-3.027312E+0002
 4.121600E-0003	 1.093750E+0001	-6.650000E-0005	 3.270673E+0001	-3.011687E+0002
 4.710400E-0003	 1.250003E+0001	-6.650000E-0005	 3.371845E+0001	-2.996062E+0002
 5.299200E-0003	 1.406252E+0001	-6.650000E-0005	 3.112599E+0001	-2.980437E+0002
 5.888000E-0003	 1.562501E+0001	-6.650000E-0005	 3.005259E+0001	-2.964812E+0002
 6.476800E-0003	 1.718750E+0001	-6.650000E-0005	 2.969838E+0001	-2.949187E+0002
 7.065600E-0003	 1.875003E+0001	-6.650000E-0005	 2.626251E+0001	-2.933562E+0002
 7.654400E-0003	 2.031252E+0001	-6.650000E-0005	 2.756596E+0001	-2.917937E+0002
 8.243200E-0003	 2.187501E+0001	-6.650000E-0005	 2.602129E+0001	-2.902312E+0002
 8.832000E-0003	 2.343750E+0001	-6.650000E-0005	 2.475304E+0001	-2.886687E+0002
 9.420800E-0003	 2.500003E+0001	-6.650000E-0005	 2.426897E+0001	-2.871062E+0002
 1.000960E-0002	 2.656252E+0001	-6.650000E-0005	 2.182114E+0001	-2.855437E+0002
 1.059840E-0002	 2.812501E+0001	-6.650000E-0005	 2.228032E+0001	-2.839812E+0002
 1.118720E-0002	 2.968753E+0001	-6.650000E-0005	 2.048861E+0001	-2.824187E+0002
 1.177600E-0002	 3.125003E+0001	-6.650000E-0005	 1.984826E+0001	-2.808562E+0002
 1.236480E-0002	 3.281252E+0001	-6.650000E-0005	 1.818286E+0001	-2.792937E+0002
 1.295360E-0002	 3.437501E+0001	-6.650000E-0005	 1.642245E+0001	-2.777312E+0002
 1.354240E-0002	 3.593753E+0001	-6.650000E-0005	 1.673268E+0001	-2.761687E+0002
 1.413120E-0002	 3.750002E+0001	-6.650000E-0005	 1.427217E+0001	-2.746062E+0002
 1.472000E-0002	 3.906251E+0001	-6.650000E-0005	 1.418798E+0001	-2.730437E+0002
 1.530880E-0002	 4.062500E+0001	-6.650000E-0005	 1.212718E+0001	-2.714812E+0002
 1.589760E-0002	 4.218753E+0001	-6.650000E-0005	 1.048552E+0001	-2.699187E+0002
 1.648640E-0002	 4.375002E+0001	-6.650000E-0005	 1.124369E+0001	-2.683562E+0002
 1.707520E-0002	 4.531251E+0001	-6.650000E-0005	 8.026760E+0000	-2.667937E+0002
 1.766400E-0002	 4.687500E+0001	-6.650000E-0005	 8.226670E+0000	-2.652312E+0002
 1.825280E-0002	 4.843753E+0001	-6.650000E-0005	 7.482760E+0000	-2.636687E+0002
 1.884160E-0002	 5.000002E+0001	-6.650000E-0005	 5.266960E+0000	-2.621062E+0002
 1.943040E-0002	 5.156251E+0001	-6.650000E-0005	 5.429990E+0000	-2.605437E+0002
 2.001920E-0002	 5.312500E+0001	-6.650000E-0005	 3.760870E+0000	-2.589812E+0002
 2.060800E-0002	 5.468753E+0001	-6.650000E-0005	 2.917810E+0000	-2.574187E+0002
