time	dz	Bias	Amplitude
 0.000000E+0000	 0.000000E+0000	-3.300000E-0005	 3.515609E-0002
 3.072000E-0004	 0.000000E+0000	-3.300000E-0005	 3.513595E-0002
 6.144000E-0004	 9.785324E-0002	-3.300000E-0005	 3.496551E-0002
 9.216000E-0004	 1.957065E-0001	-3.300000E-0005	 3.504244E-0002
 1.228800E-0003	 2.935597E-0001	-3.300000E-0005	 3.543119E-0002
 1.536000E-0003	 3.914130E-0001	-3.300000E-0005	 3.547670E-0002
 1.843200E-0003	 4.892662E-0001	-3.300000E-0005	 3.567714E-0002
 2.150400E-0003	 5.870843E-0001	-3.300000E-0005	 3.592225E-0002
 2.457600E-0003	 6.849375E-0001	-3.300000E-0005	 3.607314E-0002
 2.764800E-0003	 7.827908E-0001	-3.300000E-0005	 3.635733E-0002
 3.072000E-0003	 8.806440E-0001	-3.300000E-0005	 3.633003E-0002
 3.379200E-0003	 9.784973E-0001	-3.300000E-0005	 3.662485E-0002
 3.686400E-0003	 1.076350E+0000	-3.300000E-0005	 3.666971E-0002
 3.993600E-0003	 1.174169E+0000	-3.300000E-0005	 3.694099E-0002
 4.300800E-0003	 1.272022E+0000	-3.300000E-0005	 3.695884E-0002
 4.608000E-0003	 1.369875E+0000	-3.300000E-0005	 3.721961E-0002
 4.915200E-0003	 1.467728E+0000	-3.300000E-0005	 3.734151E-0002
 5.222400E-0003	 1.565582E+0000	-3.300000E-0005	 3.757926E-0002
 5.529600E-0003	 1.663435E+0000	-3.300000E-0005	 3.786228E-0002
 5.836800E-0003	 1.761253E+0000	-3.300000E-0005	 3.803553E-0002
 6.144000E-0003	 1.859106E+0000	-3.300000E-0005	 3.812136E-0002
 6.451200E-0003	 1.956959E+0000	-3.300000E-0005	 3.828858E-0002
 6.758400E-0003	 2.054813E+0000	-3.300000E-0005	 3.845645E-0002
 7.065600E-0003	 2.152666E+0000	-3.300000E-0005	 3.868219E-0002
 7.372800E-0003	 2.250519E+0000	-3.300000E-0005	 3.888688E-0002
 7.680000E-0003	 2.348337E+0000	-3.300000E-0005	 3.922651E-0002
 7.987200E-0003	 2.446190E+0000	-3.300000E-0005	 3.938389E-0002
 8.294400E-0003	 2.544044E+0000	-3.300000E-0005	 3.931895E-0002
 8.601600E-0003	 2.641897E+0000	-3.300000E-0005	 3.930970E-0002
 8.908800E-0003	 2.739750E+0000	-3.300000E-0005	 3.966880E-0002
 9.216000E-0003	 2.837603E+0000	-3.300000E-0005	 3.995720E-0002
 9.523200E-0003	 2.935422E+0000	-3.300000E-0005	 4.005387E-0002
 9.830400E-0003	 3.033275E+0000	-3.300000E-0005	 4.037082E-0002
 1.013760E-0002	 3.131128E+0000	-3.300000E-0005	 4.015660E-0002
 1.044480E-0002	 3.228981E+0000	-3.300000E-0005	 4.037603E-0002
 1.075200E-0002	 3.326834E+0000	-3.300000E-0005	 4.060532E-0002
 1.105920E-0002	 3.424688E+0000	-3.300000E-0005	 4.071845E-0002
 1.136640E-0002	 3.522506E+0000	-3.300000E-0005	 4.105913E-0002
 1.167360E-0002	 3.620359E+0000	-3.300000E-0005	 4.138847E-0002
 1.198080E-0002	 3.718212E+0000	-3.300000E-0005	 4.171922E-0002
 1.228800E-0002	 3.816066E+0000	-3.300000E-0005	 4.154645E-0002
 1.259520E-0002	 3.913919E+0000	-3.300000E-0005	 4.184682E-0002
 1.290240E-0002	 4.011772E+0000	-3.300000E-0005	 4.196667E-0002
 1.320960E-0002	 4.109590E+0000	-3.300000E-0005	 4.218438E-0002
 1.351680E-0002	 4.207443E+0000	-3.300000E-0005	 4.241634E-0002
 1.382400E-0002	 4.305297E+0000	-3.300000E-0005	 4.258557E-0002
 1.413120E-0002	 4.403150E+0000	-3.300000E-0005	 4.257766E-0002
 1.443840E-0002	 4.501003E+0000	-3.300000E-0005	 4.289166E-0002
 1.474560E-0002	 4.598856E+0000	-3.300000E-0005	 4.309255E-0002
 1.505280E-0002	 4.696674E+0000	-3.300000E-0005	 4.324360E-0002
 1.536000E-0002	 4.794528E+0000	-3.300000E-0005	 4.314621E-0002
 1.566720E-0002	 4.892381E+0000	-3.300000E-0005	 4.341335E-0002
 1.597440E-0002	 4.990234E+0000	-3.300000E-0005	 4.365557E-0002
 1.628160E-0002	 5.088087E+0000	-3.300000E-0005	 4.353332E-0002
 1.658880E-0002	 5.185941E+0000	-3.300000E-0005	 4.361275E-0002
 1.689600E-0002	 5.283759E+0000	-3.300000E-0005	 4.407011E-0002
 1.720320E-0002	 5.381612E+0000	-3.300000E-0005	 4.413336E-0002
 1.751040E-0002	 5.479465E+0000	-3.300000E-0005	 4.410553E-0002
 1.781760E-0002	 5.577318E+0000	-3.300000E-0005	 4.454691E-0002
 1.812480E-0002	 5.675172E+0000	-3.300000E-0005	 4.449862E-0002
 1.843200E-0002	 5.773025E+0000	-3.300000E-0005	 4.490198E-0002
 1.873920E-0002	 5.870843E+0000	-3.300000E-0005	 4.537100E-0002
 1.904640E-0002	 5.968696E+0000	-3.300000E-0005	 4.552879E-0002
 1.935360E-0002	 6.066550E+0000	-3.300000E-0005	 4.561356E-0002
 1.966080E-0002	 6.164403E+0000	-3.300000E-0005	 4.554702E-0002
 1.996800E-0002	 6.262256E+0000	-3.300000E-0005	 4.576447E-0002
 2.027520E-0002	 6.360109E+0000	-3.300000E-0005	 4.596127E-0002
 2.058240E-0002	 6.457927E+0000	-3.300000E-0005	 4.609256E-0002
 2.088960E-0002	 6.555781E+0000	-3.300000E-0005	 4.613657E-0002
 2.119680E-0002	 6.653634E+0000	-3.300000E-0005	 4.615338E-0002
 2.150400E-0002	 6.751487E+0000	-3.300000E-0005	 4.626588E-0002
 2.181120E-0002	 6.849340E+0000	-3.300000E-0005	 4.642007E-0002
 2.211840E-0002	 6.947194E+0000	-3.300000E-0005	 4.634991E-0002
 2.242560E-0002	 7.045012E+0000	-3.300000E-0005	 4.628290E-0002
 2.273280E-0002	 7.142865E+0000	-3.300000E-0005	 4.627742E-0002
 2.304000E-0002	 7.240718E+0000	-3.300000E-0005	 4.642187E-0002
 2.334720E-0002	 7.338571E+0000	-3.300000E-0005	 4.645373E-0002
 2.365440E-0002	 7.436425E+0000	-3.300000E-0005	 4.640245E-0002
 2.396160E-0002	 7.534278E+0000	-3.300000E-0005	 4.637720E-0002
