Time	Topo	Amplitude	Phase
0.015616	-1159.18	0.0534676	 -89.171
0.031232	-1159.25	0.0536312	 -90.243
0.046848	 -1159.4	0.0539798	 -90.227
0.062464	 -1159.6	0.0538147	 -89.875
0.07808	-1159.59	0.0536938	 -89.117
0.093696	-1159.35	0.0534704	 -89.591
0.109312	-1159.39	0.0536473	 -89.535
0.124928	 -1159.2	0.0533552	 -89.267
0.140544	-1159.45	0.0533932	 -88.971
0.15616	-1159.42	0.0537667	 -90.079
0.171776	-1159.33	0.0537363	 -90.131
0.187392	-1159.41	0.0536083	 -89.707
0.203008	-1159.49	0.0535461	 -89.371
0.218624	-1159.53	0.0537641	 -89.421
0.23424	-1159.47	0.0535249	 -88.831
0.249856	-1159.46	0.0536226	 -89.581
0.265472	-1159.44	0.0537563	 -89.995
0.281088	 -1159.4	0.0536793	 -90.227
0.296704	-1159.56	0.0534391	 -89.297
0.31232	-1159.56	0.0535411	 -89.323
0.327936	-1159.65	0.0537284	 -89.647
0.343552	 -1159.6	0.0535013	 -89.511
0.359168	-1159.55	0.053671	 -89.469
0.374784	-1159.54	0.0536374	 -89.089
0.3904	-1159.55	0.0537787	 -89.799
0.406016	 -1159.5	0.0533936	 -89.497
0.421632	-1159.72	0.0537027	 -89.267
0.437248	 -1159.7	0.0537682	 -89.631
0.452864	-1159.69	0.0534146	 -89.491
0.46848	-1159.69	0.0536531	 -89.497
0.484096	-1159.68	0.0534566	 -88.929
0.499712	-1159.51	0.0538296	 -89.969
0.515328	-1159.63	0.0534577	 -89.645
0.530944	-1159.74	0.0538097	 -90.033
0.54656	-1159.84	0.0536301	 -89.715
0.562176	-1159.81	0.0535542	 -89.549
0.577792	-1159.87	0.0536253	 -89.669
0.593408	 -1159.9	0.0535388	 -88.999
0.609024	-1159.77	0.0535322	 -89.149
0.62464	-1159.77	0.053567	 -89.763
0.640256	-1159.86	0.0536729	 -89.469
0.655872	-1159.78	0.053699	 -89.511
0.671488	-1159.75	0.0535749	 -89.585
0.687104	-1159.78	0.0537481	 -90.339
0.70272	-1159.87	0.053737	 -89.463
0.718336	-1159.91	0.0539049	 -89.897
0.733952	-1159.92	0.0535371	 -89.175
0.749568	-1159.82	0.0536052	 -89.249
0.765184	-1159.72	0.0535609	 -89.511
0.7808	-1159.78	0.053536	 -89.409
0.796416	-1159.84	0.0536561	 -89.647
0.812032	-1159.99	0.0537566	 -89.231
0.827648	-1160.01	0.0536367	 -89.315
0.843264	-1160.02	0.0537205	 -89.291
0.85888	-1159.88	0.0535609	 -89.501
0.874496	-1159.77	0.0536374	 -89.343
0.890112	-1159.83	0.0536811	 -88.925
0.905728	-1159.88	0.0538965	 -89.547
0.921344	-1159.79	0.0535281	 -89.847
0.93696	-1159.92	0.053737	 -89.627
0.952576	-1159.95	0.0536424	 -89.535
0.968192	-1160.01	0.0537065	 -89.683
0.983808	-1160.03	0.0535721	 -88.933
0.999424	   -1160	0.0534672	 -89.211
1.01504	-1159.93	0.0537105	 -89.735
1.03066	-1159.95	0.0537291	 -89.329
1.04627	-1159.89	0.053434	 -89.273
1.06189	-1160.01	0.0537403	 -89.493
1.0775	-1160.02	0.0536053	 -89.255
1.09312	-1160.01	0.0536765	 -89.491
1.10874	-1160.09	0.0536131	 -89.241
1.12435	-1160.06	0.0540256	 -89.417
1.13997	-1159.86	0.053498	 -89.151
1.15558	-1159.89	0.0536932	 -89.207
1.1712	-1159.83	0.0535627	 -89.393
1.18682	-1159.97	0.0537707	 -89.375
1.20243	-1160.02	0.0537609	 -89.149
1.21805	-1160.09	0.0539127	 -89.393
1.23366	   -1160	0.0534592	 -89.297
1.24928	-1159.92	0.0535164	 -89.003
1.2649	-1159.79	0.0534204	 -89.269
