Time	Topo	Amplitude	Phase
0.0015616	-1098.23	0.0533356	 -86.985
0.0031232	-1098.03	0.0536694	 -87.645
0.0046848	-1097.48	0.0528474	 -85.945
0.0062464	-1097.19	0.0543443	 -88.747
0.007808	-1097.09	0.0527023	 -85.693
0.0093696	-1096.67	0.0533688	 -86.827
0.0109312	-1096.84	0.0549912	 -90.731
0.0124928	 -1096.5	0.0528624	 -87.967
0.0140544	-1096.87	0.053368	 -86.967
0.015616	-1095.63	0.0532618	 -88.803
0.0171776	 -1097.8	0.0542371	 -85.435
0.0187392	 -1096.9	0.0535847	 -87.027
0.0203008	-1097.22	0.0546017	 -89.213
0.0218624	-1096.48	0.0534985	 -89.235
0.023424	-1096.66	0.0532037	 -87.487
0.0249856	-1097.31	0.0543139	 -88.071
0.0265472	-1098.08	0.0543275	 -88.841
0.0281088	-1101.11	0.0564671	 -93.323
0.0296704	-1106.87	0.0571623	 -93.317
0.031232	-1112.67	0.0570727	 -93.473
0.0327936	 -1118.5	0.0571002	 -93.187
0.0343552	-1123.68	0.0557707	 -90.229
0.0359168	-1123.43	0.0527801	 -88.649
0.0374784	-1124.21	0.0535672	 -86.781
0.03904	-1123.79	0.0530117	 -86.103
0.0406016	-1122.86	0.0536208	 -88.449
0.0421632	 -1124.6	0.0542494	 -86.761
0.0437248	   -1124	0.0534846	 -87.547
0.0452864	-1123.24	0.0522927	 -84.953
0.046848	-1121.74	0.0544824	 -90.503
0.0484096	-1123.86	0.0547018	 -89.003
0.0499712	-1124.29	0.0532852	 -87.121
0.0515328	-1124.47	0.0547524	 -90.409
0.0530944	-1124.15	0.0527514	 -88.501
0.054656	-1124.91	0.0530247	 -85.953
0.0562176	   -1125	0.0540783	 -87.883
0.0577792	-1125.25	0.0545326	 -89.787
0.0593408	-1124.94	0.052903	 -87.609
0.0609024	-1125.67	0.0534914	 -86.193
0.062464	-1125.78	0.0541062	 -88.089
0.0640256	 -1126.1	0.0540562	 -87.507
0.0655872	-1125.33	0.0537597	 -89.353
0.0671488	-1125.57	0.0529075	 -86.949
0.0687104	 -1126.6	0.0541936	 -87.431
0.070272	-1126.17	0.0534683	 -86.323
0.0718336	-1125.09	0.0538397	 -88.799
0.0733952	-1126.52	0.0539643	 -87.003
0.0749568	-1126.47	0.0537966	 -87.981
0.0765184	-1125.87	0.0527668	 -86.855
0.07808	-1126.92	0.0545702	 -88.197
0.0796416	-1126.19	0.0533666	 -88.817
0.0812032	-1126.09	0.0528166	 -86.411
0.0827648	-1126.55	0.0540421	 -87.469
0.0843264	-1126.52	0.0535782	 -87.389
0.085888	-1125.92	0.0538354	 -89.385
0.0874496	-1126.17	0.0531652	 -87.289
0.0890112	-1125.94	0.053447	 -87.431
0.0905728	-1125.77	0.0529993	 -86.607
0.0921344	-1126.05	0.0538613	 -86.943
0.093696	-1125.34	0.0533445	 -88.089
0.0952576	-1125.28	0.0537231	 -87.675
0.0968192	-1123.84	0.0526115	 -87.501
0.0983808	-1124.42	0.0544039	 -89.047
0.0999424	-1124.45	0.0530671	 -87.519
0.101504	-1124.15	0.0541694	 -89.357
0.103066	-1124.65	0.0530978	 -86.919
0.104627	-1124.93	0.0541892	 -88.019
0.106189	 -1122.8	0.0515731	 -84.991
0.10775	-1121.43	0.0545607	 -91.467
