time	dz	Bias	Amplitude
 0.000000E+0000	 0.000000E+0000	-3.300000E-0005	 5.325334E-0002
 3.072000E-0004	 0.000000E+0000	-3.300000E-0005	 5.321946E-0002
 6.144000E-0004	 2.936300E-0002	-3.300000E-0005	 5.337086E-0002
 9.216000E-0004	 5.872599E-0002	-3.300000E-0005	 5.350454E-0002
 1.228800E-0003	 8.808899E-0002	-3.300000E-0005	 5.343039E-0002
 1.536000E-0003	 1.174168E-0001	-3.300000E-0005	 5.356275E-0002
 1.843200E-0003	 1.467799E-0001	-3.300000E-0005	 5.362240E-0002
 2.150400E-0003	 1.761429E-0001	-3.300000E-0005	 5.363397E-0002
 2.457600E-0003	 2.055058E-0001	-3.300000E-0005	 5.348900E-0002
 2.764800E-0003	 2.348337E-0001	-3.300000E-0005	 5.358907E-0002
 3.072000E-0003	 2.641967E-0001	-3.300000E-0005	 5.352872E-0002
 3.379200E-0003	 2.935597E-0001	-3.300000E-0005	 5.373068E-0002
 3.686400E-0003	 3.229227E-0001	-3.300000E-0005	 5.375809E-0002
 3.993600E-0003	 3.522506E-0001	-3.300000E-0005	 5.379814E-0002
 4.300800E-0003	 3.816136E-0001	-3.300000E-0005	 5.383951E-0002
 4.608000E-0003	 4.109766E-0001	-3.300000E-0005	 5.387508E-0002
 4.915200E-0003	 4.403396E-0001	-3.300000E-0005	 5.396002E-0002
 5.222400E-0003	 4.696674E-0001	-3.300000E-0005	 5.412971E-0002
 5.529600E-0003	 4.990304E-0001	-3.300000E-0005	 5.412811E-0002
 5.836800E-0003	 5.283934E-0001	-3.300000E-0005	 5.421713E-0002
 6.144000E-0003	 5.577564E-0001	-3.300000E-0005	 5.417901E-0002
 6.451200E-0003	 5.870843E-0001	-3.300000E-0005	 5.420132E-0002
 6.758400E-0003	 6.164473E-0001	-3.300000E-0005	 5.421232E-0002
 7.065600E-0003	 6.458103E-0001	-3.300000E-0005	 5.423110E-0002
 7.372800E-0003	 6.751733E-0001	-3.300000E-0005	 5.428647E-0002
 7.680000E-0003	 7.045012E-0001	-3.300000E-0005	 5.446772E-0002
 7.987200E-0003	 7.338642E-0001	-3.300000E-0005	 5.449808E-0002
 8.294400E-0003	 7.632272E-0001	-3.300000E-0005	 5.447991E-0002
 8.601600E-0003	 7.925902E-0001	-3.300000E-0005	 5.447180E-0002
 8.908800E-0003	 8.219180E-0001	-3.300000E-0005	 5.451701E-0002
 9.216000E-0003	 8.512810E-0001	-3.300000E-0005	 5.466757E-0002
 9.523200E-0003	 8.806440E-0001	-3.300000E-0005	 5.468574E-0002
 9.830400E-0003	 9.100070E-0001	-3.300000E-0005	 5.465723E-0002
 1.013760E-0002	 9.393349E-0001	-3.300000E-0005	 5.459558E-0002
 1.044480E-0002	 9.686979E-0001	-3.300000E-0005	 5.459265E-0002
 1.075200E-0002	 9.980609E-0001	-3.300000E-0005	 5.473870E-0002
 1.105920E-0002	 1.027424E+0000	-3.300000E-0005	 5.470589E-0002
 1.136640E-0002	 1.056752E+0000	-3.300000E-0005	 5.482861E-0002
 1.167360E-0002	 1.086115E+0000	-3.300000E-0005	 5.475800E-0002
 1.198080E-0002	 1.115478E+0000	-3.300000E-0005	 5.478727E-0002
 1.228800E-0002	 1.144841E+0000	-3.300000E-0005	 5.482264E-0002
 1.259520E-0002	 1.174169E+0000	-3.300000E-0005	 5.492441E-0002
 1.290240E-0002	 1.203532E+0000	-3.300000E-0005	 5.502225E-0002
 1.320960E-0002	 1.232895E+0000	-3.300000E-0005	 5.509749E-0002
 1.351680E-0002	 1.262258E+0000	-3.300000E-0005	 5.515697E-0002
 1.382400E-0002	 1.291585E+0000	-3.300000E-0005	 5.525471E-0002
 1.413120E-0002	 1.320948E+0000	-3.300000E-0005	 5.520246E-0002
 1.443840E-0002	 1.350311E+0000	-3.300000E-0005	 5.522761E-0002
 1.474560E-0002	 1.379674E+0000	-3.300000E-0005	 5.518162E-0002
 1.505280E-0002	 1.409002E+0000	-3.300000E-0005	 5.535210E-0002
 1.536000E-0002	 1.438365E+0000	-3.300000E-0005	 5.525897E-0002
 1.566720E-0002	 1.467728E+0000	-3.300000E-0005	 5.534047E-0002
 1.597440E-0002	 1.497091E+0000	-3.300000E-0005	 5.535205E-0002
 1.628160E-0002	 1.526419E+0000	-3.300000E-0005	 5.544175E-0002
 1.658880E-0002	 1.555782E+0000	-3.300000E-0005	 5.549733E-0002
 1.689600E-0002	 1.585145E+0000	-3.300000E-0005	 5.542699E-0002
 1.720320E-0002	 1.614508E+0000	-3.300000E-0005	 5.550338E-0002
 1.751040E-0002	 1.643836E+0000	-3.300000E-0005	 5.545462E-0002
 1.781760E-0002	 1.673199E+0000	-3.300000E-0005	 5.554902E-0002
