Measurement started: 12:41:43.128 29.05.2019
ended: 13:54:45.665 29.05.2019
Measurement Current was 2.000E-6A
Field [T]	Gate [V]	LI#1(Rxx) [Ohm]	Phase#1 [°]	LI#2(Rxy) [Ohm]	Phase#2 [°]	
5.408670E+0	0.000000E+0	7.690828E+1	-1.522692E-1	7.554942E+2	7.062686E-2
5.409370E+0	0.000000E+0	7.608706E+1	3.534516E-2	7.548364E+2	5.144975E-2
5.409950E+0	0.000000E+0	7.615921E+1	-6.156028E-1	7.555235E+2	8.922244E-3
5.410310E+0	0.000000E+0	7.680028E+1	-3.470223E-1	7.559665E+2	6.896959E-2
5.410460E+0	0.000000E+0	7.677850E+1	1.774417E-2	7.557332E+2	8.547030E-2
5.410540E+0	0.000000E+0	7.631922E+1	1.542971E-1	7.553310E+2	6.929552E-2
5.410690E+0	0.000000E+0	7.590600E+1	-3.795912E-1	7.554150E+2	9.903362E-3
5.410660E+0	0.000000E+0	7.624331E+1	-5.624256E-1	7.557995E+2	1.250942E-2
5.410590E+0	0.000000E+0	7.663039E+1	-5.295511E-1	7.561109E+2	4.576080E-2
5.410360E+0	0.000000E+0	7.662345E+1	1.837625E-2	7.555585E+2	8.625063E-2
5.409980E+0	0.000000E+0	7.579801E+1	-1.316791E-1	7.551836E+2	2.522790E-2
5.409750E+0	0.000000E+0	7.598953E+1	-4.584161E-1	7.556274E+2	9.774029E-3
5.409480E+0	0.000000E+0	7.639003E+1	-6.086909E-1	7.559226E+2	1.530671E-2
5.408870E+0	0.000000E+0	7.682089E+1	-8.564897E-2	7.557381E+2	7.484951E-2
5.408420E+0	0.000000E+0	7.643545E+1	7.269202E-2	7.552654E+2	7.259079E-2
5.407890E+0	0.000000E+0	7.606407E+1	8.877359E-3	7.550413E+2	4.657808E-2
5.407380E+0	0.000000E+0	7.584820E+1	-2.682744E-1	7.550881E+2	2.385741E-2
5.406850E+0	0.000000E+0	7.598012E+1	-4.487775E-1	7.555062E+2	-9.980115E-4
5.406320E+0	0.000000E+0	7.630110E+1	-6.267573E-1	7.557409E+2	1.097577E-2
5.405590E+0	0.000000E+0	7.673628E+1	-5.173621E-1	7.558908E+2	3.565106E-2
5.405160E+0	0.000000E+0	7.691591E+1	-2.509667E-1	7.556388E+2	6.659962E-2
5.404450E+0	0.000000E+0	7.670922E+1	3.840779E-2	7.551148E+2	7.662469E-2
5.403640E+0	0.000000E+0	7.637275E+1	1.707183E-1	7.547826E+2	7.830870E-2
5.402990E+0	0.000000E+0	7.595300E+1	5.021598E-2	7.545776E+2	4.767306E-2
5.402410E+0	0.000000E+0	7.585166E+1	-2.381590E-1	7.545349E+2	2.162737E-2
5.401750E+0	0.000000E+0	7.607061E+1	-5.716240E-1	7.548605E+2	8.661781E-3
5.400770E+0	0.000000E+0	7.660759E+1	-5.692583E-1	7.551882E+2	3.335551E-2
5.399760E+0	0.000000E+0	7.680476E+1	-4.158043E-1	7.549931E+2	6.336729E-2
5.398950E+0	0.000000E+0	7.678578E+1	-6.511706E-2	7.546583E+2	8.187114E-2
5.398090E+0	0.000000E+0	7.625837E+1	1.606013E-1	7.541340E+2	8.196457E-2
5.397160E+0	0.000000E+0	7.586414E+1	7.969403E-2	7.538773E+2	4.895640E-2
5.396220E+0	0.000000E+0	7.568893E+1	-1.542398E-1	7.538708E+2	2.038171E-2
5.395190E+0	0.000000E+0	7.580841E+1	-4.892201E-1	7.540053E+2	1.201542E-2
5.394230E+0	0.000000E+0	7.631245E+1	-5.604569E-1	7.542155E+2	1.775711E-2
5.393100E+0	0.000000E+0	7.672853E+1	-3.806442E-1	7.541038E+2	5.287193E-2
5.392160E+0	0.000000E+0	7.675166E+1	-7.324210E-2	7.536329E+2	8.140390E-2
5.391100E+0	0.000000E+0	7.647336E+1	9.445430E-2	7.532058E+2	8.175581E-2
5.390120E+0	0.000000E+0	7.608342E+1	1.017680E-1	7.529635E+2	5.600069E-2
5.388960E+0	0.000000E+0	7.571219E+1	-9.825293E-2	7.526754E+2	3.049560E-2
5.387900E+0	0.000000E+0	7.558035E+1	-3.600572E-1	7.526607E+2	2.091562E-2
5.386990E+0	0.000000E+0	7.569186E+1	-5.538102E-1	7.528292E+2	1.642350E-2
5.385930E+0	0.000000E+0	7.611793E+1	-6.446076E-1	7.530368E+2	1.682139E-2
5.384740E+0	0.000000E+0	7.645703E+1	-5.890381E-1	7.530011E+2	3.810377E-2
5.383730E+0	0.000000E+0	7.665379E+1	-4.142137E-1	7.527473E+2	6.120589E-2
5.382850E+0	0.000000E+0	7.665668E+1	-1.289334E-1	7.523670E+2	7.985462E-2
5.381740E+0	0.000000E+0	7.639689E+1	6.068245E-2	7.518477E+2	8.210851E-2
5.380530E+0	0.000000E+0	7.590588E+1	1.326528E-1	7.514510E+2	6.794973E-2
5.379620E+0	0.000000E+0	7.562357E+1	-7.720320E-2	7.513142E+2	4.417773E-2
5.378530E+0	0.000000E+0	7.554466E+1	-2.982174E-1	7.513944E+2	2.419793E-2
5.377500E+0	0.000000E+0	7.570554E+1	-5.403463E-1	7.514501E+2	1.692861E-2
5.376440E+0	0.000000E+0	7.605358E+1	-6.132542E-1	7.516560E+2	2.156283E-2
5.375430E+0	0.000000E+0	7.631715E+1	-6.346543E-1	7.515130E+2	3.652384E-2
5.374440E+0	0.000000E+0	7.661254E+1	-4.014988E-1	7.513566E+2	5.552989E-2
5.373410E+0	0.000000E+0	7.659504E+1	-1.481823E-1	7.509099E+2	7.405954E-2
5.372300E+0	0.000000E+0	7.639149E+1	6.853485E-2	7.504580E+2	8.273180E-2
5.371440E+0	0.000000E+0	7.607343E+1	1.823541E-1	7.500575E+2	7.499787E-2
5.370480E+0	0.000000E+0	7.570020E+1	1.199047E-1	7.498537E+2	5.730337E-2
5.369450E+0	0.000000E+0	7.546268E+1	-3.835696E-2	7.497210E+2	3.511687E-2
5.368390E+0	0.000000E+0	7.543437E+1	-1.988421E-1	7.497741E+2	2.225924E-2
5.367550E+0	0.000000E+0	7.546137E+1	-4.146837E-1	7.497737E+2	1.566239E-2
5.366540E+0	0.000000E+0	7.572685E+1	-5.839383E-1	7.499438E+2	1.916259E-2
5.365510E+0	0.000000E+0	7.595333E+1	-6.618958E-1	7.498556E+2	2.656489E-2
5.364680E+0	0.000000E+0	7.615049E+1	-6.563717E-1	7.497334E+2	4.132807E-2
5.363720E+0	0.000000E+0	7.634170E+1	-4.831525E-1	7.495245E+2	6.034485E-2
5.362730E+0	0.000000E+0	7.636969E+1	-2.608262E-1	7.492982E+2	7.400452E-2
5.361880E+0	0.000000E+0	7.625668E+1	-1.725580E-2	7.489483E+2	8.070019E-2
5.360810E+0	0.000000E+0	7.592626E+1	7.210991E-2	7.485325E+2	7.260320E-2
5.360110E+0	0.000000E+0	7.558573E+1	8.250995E-2	7.482213E+2	5.526200E-2
5.359200E+0	0.000000E+0	7.534467E+1	-1.257312E-2	7.481969E+2	3.889452E-2
5.358270E+0	0.000000E+0	7.529013E+1	-2.908340E-1	7.480650E+2	1.774472E-2
5.357280E+0	0.000000E+0	7.538968E+1	-5.370516E-1	7.481886E+2	1.175055E-2
5.356370E+0	0.000000E+0	7.567362E+1	-6.292158E-1	7.484503E+2	2.069092E-2
5.355540E+0	0.000000E+0	7.599973E+1	-5.894089E-1	7.484760E+2	3.532082E-2
5.354680E+0	0.000000E+0	7.621089E+1	-4.839209E-1	7.482413E+2	5.411920E-2
