Measurement started: 16:33:42.835 29.05.2019
ended: 16:38:02.819 29.05.2019
Measurement Current was 1.000E-10A
Field [T]	Gate [V]	LI#1(Rxx) [Ohm]	Phase#1 [°]	LI#2(Rxy) [Ohm]	Phase#2 [°]	
5.375150E+0	0.000000E+0	2.280793E+3	-1.228615E+2	5.322857E+3	1.695115E+2
5.374370E+0	0.000000E+0	6.112555E+3	-3.463387E+1	4.384907E+3	-4.462587E-2
5.373430E+0	0.000000E+0	4.879512E+3	-6.985191E+0	6.131422E+3	3.951004E+0
5.372900E+0	0.000000E+0	6.280950E+3	-1.336636E+2	1.063734E+3	-5.599284E+0
5.372400E+0	0.000000E+0	3.435950E+3	5.360470E+1	6.438721E+3	-9.908891E+0
5.372000E+0	0.000000E+0	3.299999E+3	5.925539E+1	1.240533E+4	-3.092047E+1
5.371490E+0	0.000000E+0	1.007095E+3	7.670951E+1	2.544162E+3	-7.857508E+1
5.371040E+0	0.000000E+0	5.721684E+3	1.097284E+2	6.941307E+3	-1.713356E+1
5.370630E+0	0.000000E+0	5.721058E+3	2.968092E+0	1.011305E+4	-3.529098E+1
5.370180E+0	0.000000E+0	8.001657E+3	2.399214E+1	7.409878E+3	-6.668512E+0
5.369270E+0	0.000000E+0	8.667233E+3	3.132559E+1	2.218021E+3	-5.631617E+1
5.368790E+0	0.000000E+0	3.435452E+3	2.169428E+1	6.434709E+3	3.516328E+1
5.368310E+0	0.000000E+0	1.058313E+4	-1.630188E+1	2.254503E+3	-1.020992E+2
5.367780E+0	0.000000E+0	8.980968E+3	-1.984020E+1	3.842346E+3	-2.554904E+1
5.367300E+0	0.000000E+0	8.415181E+3	-2.834534E+1	5.332359E+3	1.206323E+1
5.366900E+0	0.000000E+0	6.078475E+3	2.189447E-1	5.129778E+3	-5.693792E+0
5.366370E+0	0.000000E+0	6.928949E+3	-1.328562E+2	2.285464E+3	-1.181355E+2
5.365810E+0	0.000000E+0	5.107882E+3	-9.515312E+0	5.537731E+3	-5.521147E+1
5.365310E+0	0.000000E+0	5.380610E+3	9.646474E+1	5.055319E+3	-7.908517E+0
5.365060E+0	0.000000E+0	5.463573E+3	1.017397E+2	6.735560E+3	8.139350E+0
5.364500E+0	0.000000E+0	8.686257E+3	8.269045E+1	7.813363E+3	7.097836E+0
5.364000E+0	0.000000E+0	1.314038E+3	1.665760E+1	1.443634E+3	-1.641548E+2
5.363570E+0	0.000000E+0	1.173582E+4	1.609336E+0	3.556832E+3	1.721635E+2
5.363140E+0	0.000000E+0	2.316719E+3	-6.885681E+1	1.479613E+3	3.283840E+1
5.362030E+0	0.000000E+0	4.863950E+3	-4.564349E+1	7.937954E+3	-6.325191E-1
5.361620E+0	0.000000E+0	7.899458E+3	-8.372412E+1	4.163275E+3	5.220944E+0
5.361140E+0	0.000000E+0	3.307012E+3	4.390051E+1	2.894842E+3	-1.192314E+0
5.360740E+0	0.000000E+0	4.658659E+3	1.529417E+2	4.735236E+3	3.099085E+1
5.360210E+0	0.000000E+0	3.646021E+3	6.587462E+1	4.459868E+3	-2.835337E+1
5.359750E+0	0.000000E+0	8.184174E+3	6.724538E+1	1.979164E+3	-9.412483E+1
5.359300E+0	0.000000E+0	4.892010E+3	2.783158E+1	3.466175E+3	2.857921E+1
5.358720E+0	0.000000E+0	1.051107E+4	4.233642E+1	5.656162E+3	-6.919019E+0
5.358340E+0	0.000000E+0	7.882201E+3	-3.958542E+1	4.423731E+3	9.552381E+1
5.357890E+0	0.000000E+0	7.042163E+3	-1.787700E+1	7.218797E+3	3.254063E+1
5.357410E+0	0.000000E+0	1.761671E+3	-1.187675E+2	9.475455E+3	9.535533E+0
5.356980E+0	0.000000E+0	4.420135E+3	-6.586887E+1	7.877167E+3	-3.569772E+1
5.356550E+0	0.000000E+0	1.245541E+3	-1.756482E+2	5.872784E+3	3.700505E+0
5.356040E+0	0.000000E+0	6.833319E+2	-1.051891E+2	5.834472E+3	-1.269933E+1
5.355160E+0	0.000000E+0	2.536571E+3	9.467081E+1	2.949587E+3	-5.308862E+1
5.354730E+0	0.000000E+0	1.543612E+3	8.495005E+1	6.507164E+3	-3.085181E+1
5.354300E+0	0.000000E+0	2.536113E+3	9.431735E+1	8.433412E+3	-2.348429E+1
5.353950E+0	0.000000E+0	1.657089E+3	3.184983E+1	4.277284E+3	2.137022E+1
5.353420E+0	0.000000E+0	4.470666E+3	2.415967E+1	5.420467E+2	6.428363E+1
5.353070E+0	0.000000E+0	5.090099E+3	6.220918E+1	3.696260E+3	1.474776E+2
5.352810E+0	0.000000E+0	7.822738E+3	5.616589E+1	1.509923E+3	-5.170977E+1
5.352310E+0	0.000000E+0	3.462397E+3	4.186453E+1	3.801864E+3	-6.580015E+1
5.351600E+0	0.000000E+0	8.058999E+3	1.490961E+0	2.179065E+3	5.243700E+1
5.351250E+0	0.000000E+0	5.528998E+3	-3.176820E+1	6.651137E+3	7.635292E+1
5.350920E+0	0.000000E+0	3.882703E+3	1.421563E+0	1.886688E+3	1.260267E+2
5.350620E+0	0.000000E+0	2.750121E+3	-5.104229E+1	6.883393E+3	2.849946E+1
5.350390E+0	0.000000E+0	5.632856E+3	-3.470780E+1	1.797551E+4	3.226711E+1
5.349660E+0	0.000000E+0	5.383539E+3	-5.725687E+1	1.091928E+4	3.428764E+1
5.349410E+0	0.000000E+0	1.188041E+3	-1.935429E+1	9.579901E+3	-1.298007E+1
5.349080E+0	0.000000E+0	2.456632E+3	-1.032735E+2	1.447942E+4	-1.125431E+1
5.348730E+0	0.000000E+0	2.027928E+3	-6.648743E+1	5.498466E+3	-4.080776E+0
5.348400E+0	0.000000E+0	3.449705E+3	-1.704002E+2	4.919736E+3	3.144651E+0
5.347720E+0	0.000000E+0	1.026436E+3	3.552695E+1	4.877469E+3	-8.170308E+1
5.347310E+0	0.000000E+0	4.562047E+2	1.145004E+2	4.337678E+3	-6.052879E+1
5.346930E+0	0.000000E+0	5.018629E+3	9.165711E+1	6.224806E+3	-1.777492E+1
5.346610E+0	0.000000E+0	1.457518E+3	8.010310E+1	4.230274E+3	-4.324442E+1
5.346200E+0	0.000000E+0	3.427589E+3	4.513950E+1	2.991226E+2	2.820825E+1
5.345470E+0	0.000000E+0	4.550169E+3	2.204841E+1	3.930340E+3	4.008370E+1
5.344890E+0	0.000000E+0	1.176168E+3	2.264073E+1	1.965933E+4	-7.299562E+1
5.344410E+0	0.000000E+0	1.609281E+3	-1.002885E+1	1.010526E+4	-5.112230E+1
