Measurement started: 14:10:53.855 29.05.2019
ended: 14:19:47.100 29.05.2019
Measurement Current was 2.000E-6A
Field [T]	Gate [V]	LI#1(Rxx) [Ohm]	Phase#1 [°]	LI#2(Rxy) [Ohm]	Phase#2 [°]	
-5.399760E+0	0.000000E+0	7.118718E+1	-8.956128E-2	6.274355E+2	-1.797292E+2
-5.399680E+0	0.000000E+0	7.111906E+1	-1.106447E-1	7.080576E+2	2.878182E-3
-5.399480E+0	0.000000E+0	7.108755E+1	-7.395049E-2	7.506742E+2	2.226501E-2
-5.398980E+0	0.000000E+0	7.111170E+1	-5.937704E-2	7.509286E+2	1.564469E-2
-5.398620E+0	0.000000E+0	7.117976E+1	-5.981608E-2	7.509741E+2	2.297834E-2
-5.398270E+0	0.000000E+0	7.108783E+1	-9.113118E-2	7.509305E+2	2.920231E-2
-5.397080E+0	0.000000E+0	7.106056E+1	-8.346053E-2	7.508157E+2	3.735126E-2
-5.396300E+0	0.000000E+0	7.112004E+1	-8.409596E-2	7.504525E+2	2.515710E-2
-5.395590E+0	0.000000E+0	7.110228E+1	-1.042220E-2	7.506192E+2	2.433006E-2
-5.394630E+0	0.000000E+0	7.109163E+1	-1.060108E-1	7.506685E+2	1.724149E-2
-5.393400E+0	0.000000E+0	7.105369E+1	-4.585843E-2	7.506775E+2	2.151390E-2
-5.392340E+0	0.000000E+0	7.105070E+1	-6.992965E-2	7.504772E+2	1.684214E-2
-5.391200E+0	0.000000E+0	7.107620E+1	3.278750E-3	7.501138E+2	5.637063E-3
-5.389590E+0	0.000000E+0	7.103747E+1	-6.608642E-2	7.501737E+2	2.447104E-2
-5.388380E+0	0.000000E+0	7.106520E+1	-9.299946E-2	7.500746E+2	2.669164E-2
-5.386960E+0	0.000000E+0	7.100598E+1	-8.591898E-2	7.500331E+2	1.802757E-2
-5.385220E+0	0.000000E+0	7.105685E+1	-3.340941E-2	7.496446E+2	2.511365E-2
-5.383810E+0	0.000000E+0	7.097946E+1	-6.777120E-2	7.493246E+2	2.029049E-2
-5.381960E+0	0.000000E+0	7.101056E+1	-5.002231E-2	7.491898E+2	2.714356E-2
-5.380170E+0	0.000000E+0	7.096048E+1	-3.365224E-2	7.493841E+2	1.881821E-2
-5.378680E+0	0.000000E+0	7.094883E+1	-8.196187E-2	7.490420E+2	3.296087E-2
-5.376990E+0	0.000000E+0	7.093298E+1	-3.896743E-2	7.485620E+2	3.602359E-2
-5.374670E+0	0.000000E+0	7.092925E+1	-3.935117E-2	7.482788E+2	2.299228E-2
-5.373130E+0	0.000000E+0	7.088166E+1	-4.920634E-2	7.481698E+2	5.158346E-2
-5.371290E+0	0.000000E+0	7.083475E+1	-8.611762E-2	7.481198E+2	4.184839E-2
-5.369020E+0	0.000000E+0	7.083375E+1	-4.191705E-2	7.476535E+2	3.191300E-2
-5.367280E+0	0.000000E+0	7.079228E+1	-5.387412E-2	7.474427E+2	2.570829E-2
-5.365260E+0	0.000000E+0	7.081508E+1	-3.527924E-2	7.471570E+2	3.699534E-2
-5.363110E+0	0.000000E+0	7.073306E+1	-1.871928E-2	7.467950E+2	2.893738E-2
-5.360840E+0	0.000000E+0	7.076020E+1	-5.770208E-2	7.466529E+2	1.739547E-2
-5.358850E+0	0.000000E+0	7.073569E+1	-3.208799E-2	7.463513E+2	1.979598E-2
-5.356730E+0	0.000000E+0	7.070631E+1	-6.965349E-2	7.460306E+2	1.992235E-2
-5.354660E+0	0.000000E+0	7.061251E+1	-5.100984E-2	7.456929E+2	1.754404E-2
-5.352590E+0	0.000000E+0	7.056999E+1	-1.021322E-1	7.453369E+2	1.370114E-2
-5.350240E+0	0.000000E+0	7.057446E+1	-9.753117E-3	7.448838E+2	2.069353E-2
-5.347820E+0	0.000000E+0	7.053798E+1	-3.470490E-2	7.446809E+2	2.164089E-2
-5.345650E+0	0.000000E+0	7.053455E+1	-3.703100E-2	7.443709E+2	2.608414E-2
-5.343450E+0	0.000000E+0	7.048767E+1	-4.134888E-2	7.440409E+2	3.647757E-2
-5.341260E+0	0.000000E+0	7.044093E+1	-5.450034E-2	7.439472E+2	3.102415E-2
-5.338910E+0	0.000000E+0	7.035331E+1	-6.781695E-2	7.435272E+2	1.561515E-2
-5.336760E+0	0.000000E+0	7.041727E+1	-6.340649E-2	7.430776E+2	3.093478E-2
-5.334520E+0	0.000000E+0	7.036643E+1	-1.671338E-2	7.428535E+2	3.048211E-2
-5.332090E+0	0.000000E+0	7.032560E+1	-4.009136E-2	7.425851E+2	2.856089E-2
-5.330000E+0	0.000000E+0	7.027492E+1	-3.900636E-2	7.423661E+2	2.527699E-2
-5.327700E+0	0.000000E+0	7.030074E+1	-6.734836E-2	7.423184E+2	2.721934E-2
-5.325000E+0	0.000000E+0	7.023907E+1	-3.427487E-2	7.418979E+2	2.032915E-2
-5.322930E+0	0.000000E+0	7.016901E+1	-4.838562E-2	7.413936E+2	1.746347E-2
-5.317610E+0	0.000000E+0	7.005910E+1	-4.701168E-2	7.405742E+2	1.542381E-2
-5.315310E+0	0.000000E+0	7.005484E+1	1.611539E-2	7.400382E+2	8.429366E-3
-5.312940E+0	0.000000E+0	6.999344E+1	-1.201780E-2	7.397891E+2	-1.069712E-2
