GateI(1),GateV(1),DrainI(1),DrainV(1),GateI(2),GateV(2),DrainI(2),DrainV(2),GateI(3),GateV(3),DrainI(3),DrainV(3)
10.5056E-12,-12.0000E+0,3.1881E-12,30.0000E-3,-48.3728E-12,-12.0000E+0,3.2257E-12,50.0000E-3,64.7579E-12,-12.0000E+0,3.7353E-12,70.0000E-3
11.7672E-12,-11.9600E+0,2.9246E-12,30.0000E-3,832.8893E-15,-11.9600E+0,3.0055E-12,50.0000E-3,66.0196E-12,-11.9600E+0,3.5318E-12,70.0000E-3
-12.6252E-12,-11.9200E+0,2.7197E-12,30.0000E-3,37.8421E-12,-11.9200E+0,2.8441E-12,50.0000E-3,38.6830E-12,-11.9200E+0,3.3726E-12,70.0000E-3
-32.8122E-12,-11.8800E+0,2.5596E-12,30.0000E-3,-27.3447E-12,-11.8800E+0,2.7167E-12,50.0000E-3,67.2812E-12,-11.8800E+0,3.2458E-12,70.0000E-3
-33.6530E-12,-11.8400E+0,2.4308E-12,30.0000E-3,127.4214E-12,-11.8400E+0,2.6070E-12,50.0000E-3,189.6643E-12,-11.8400E+0,3.1431E-12,70.0000E-3
128.6831E-12,-11.8000E+0,2.3149E-12,30.0000E-3,13.8700E-12,-11.8000E+0,2.5144E-12,50.0000E-3,91.6737E-12,-11.8000E+0,3.0629E-12,70.0000E-3
56.7672E-12,-11.7600E+0,2.2439E-12,30.0000E-3,-18.5129E-12,-11.7600E+0,2.4365E-12,50.0000E-3,63.4963E-12,-11.7600E+0,2.9923E-12,70.0000E-3
246.4398E-12,-11.7200E+0,2.1716E-12,30.0000E-3,105.9728E-12,-11.7200E+0,2.3716E-12,50.0000E-3,114.8046E-12,-11.7200E+0,2.9364E-12,70.0000E-3
147.1876E-12,-11.6800E+0,2.1098E-12,30.0000E-3,104.7111E-12,-11.6800E+0,2.3206E-12,50.0000E-3,111.8607E-12,-11.6800E+0,2.8877E-12,70.0000E-3
158.9635E-12,-11.6400E+0,2.0505E-12,30.0000E-3,55.9261E-12,-11.6400E+0,2.2727E-12,50.0000E-3,167.7951E-12,-11.6400E+0,2.8541E-12,70.0000E-3
86.6269E-12,-11.6000E+0,1.9978E-12,30.0000E-3,111.0194E-12,-11.6000E+0,2.2403E-12,50.0000E-3,189.6643E-12,-11.6000E+0,2.8238E-12,70.0000E-3
200.1783E-12,-11.5600E+0,1.9332E-12,30.0000E-3,105.9728E-12,-11.5600E+0,2.2049E-12,50.0000E-3,144.6643E-12,-11.5600E+0,2.8048E-12,70.0000E-3
-176.2230E-12,-11.5200E+0,1.8884E-12,30.0000E-3,88.3091E-12,-11.5200E+0,2.1813E-12,50.0000E-3,230.0380E-12,-11.5200E+0,2.7852E-12,70.0000E-3
29.4309E-12,-11.4800E+0,1.8453E-12,30.0000E-3,166.9540E-12,-11.4800E+0,2.1612E-12,50.0000E-3,128.2625E-12,-11.4800E+0,2.7749E-12,70.0000E-3
182.9352E-12,-11.4400E+0,1.8175E-12,30.0000E-3,130.3653E-12,-11.4400E+0,2.1381E-12,50.0000E-3,103.0289E-12,-11.4400E+0,2.7679E-12,70.0000E-3
75.2717E-12,-11.4000E+0,1.7796E-12,30.0000E-3,87.4682E-12,-11.4000E+0,2.1279E-12,50.0000E-3,189.6643E-12,-11.4000E+0,2.7638E-12,70.0000E-3
174.1034E-12,-11.3600E+0,1.7541E-12,30.0000E-3,160.6457E-12,-11.3600E+0,2.1235E-12,50.0000E-3,179.5708E-12,-11.3600E+0,2.7711E-12,70.0000E-3
136.6736E-12,-11.3200E+0,1.7286E-12,30.0000E-3,105.1317E-12,-11.3200E+0,2.1108E-12,50.0000E-3,191.7670E-12,-11.3200E+0,2.7721E-12,70.0000E-3
130.7858E-12,-11.2800E+0,1.7000E-12,30.0000E-3,179.5708E-12,-11.2800E+0,2.1114E-12,50.0000E-3,184.1969E-12,-11.2800E+0,2.7826E-12,70.0000E-3
162.7485E-12,-11.2400E+0,1.6713E-12,30.0000E-3,144.6643E-12,-11.2400E+0,2.1096E-12,50.0000E-3,163.1690E-12,-11.2400E+0,2.7901E-12,70.0000E-3
101.3465E-12,-11.2000E+0,1.6481E-12,30.0000E-3,158.1222E-12,-11.2000E+0,2.1277E-12,50.0000E-3,190.9259E-12,-11.2000E+0,2.8090E-12,70.0000E-3
55.9261E-12,-11.1600E+0,1.6281E-12,30.0000E-3,185.0380E-12,-11.1600E+0,2.1379E-12,50.0000E-3,232.5613E-12,-11.1600E+0,2.8273E-12,70.0000E-3
