# Bildnummer, Puls, Peak, tau
03, 44800, 39600,
04, 45200, 38000,
05, 45200, 35600,
06, 47200, 32800, 
07, 47200, 29600, 
08, 45200, 26800, 
09, 46000, 23600, 
10, 44800, 20400, 
11, 46000, 17600, 
12, 45600, 13600, 
13, 45600, 12400, 
14, 45200, 9200, 
15, 44400, 7200, 
16, 45600, 5200, 
17, 44800, 4000, 
18, 44000, 3600, 
19, 44400, 3200, 
20, 45200, 2800, 
21, 44800, 2800, 
22, 44800, 4400, 
23, 44000, 4000, 
24, 44000, 5200, 
25, 44800, 6000, 
26, 44000, 5600, 
27, 44800, 8000, 
28, 44400, 10800, 
29, 44400, 12800, 
30, 45200, 13600, 
31, 44400, 16000, 
32, 45200, 17600, 
33, 44000, 19600, 
34, 43200, 20000, 
35, 44400, 21200, 
36, 43600, 22800, 
37, 44400, 24800, 
38, 41600, 25200, 
39, 42000, 26000, 
40, 42400, 27200, 
41, 43200, 29600, 
42, 40400, 30000, 
43, 41600, 29200, 
44, 41200, 30400, 
45, 41200, 36400, 
46, 41200, 35600, 
47, 40800, 40400, 
48, 39600, 43600, 
