# Bildnummer, Zeile_Puls, Zeile_Peak
03, 720, 771
04, 720, 820
05, 719, 869
06, 719, 920
07, 719, 972
08, 719, 1021
09, 718, 1068
10, 719, 1124
11, 719, 1172
12, 719, 1221
13, 719, 1272
14, 719, 1322
15, 719, 1378
16, 719, 1423
17, 719, 1440
18, 719, 1465
19, 719, 1499
20, 720, 1506
21, 718, 1523
22, 719, 1544
23, 719, 1569
24, 719, 1581
25, 719, 1600
26, 719, 1626
27, 719, 1670
28, 720, 1720
29, 721, 1769
30, 718, 1819
31, 718, 1869
32, 718, 1920
33, 719, 1969
34, 719, 2019
35, 719, 2071
36, 719, 2120
37, 719, 2169
38, 720, 2225
39, 720, 2275
40, 720, 2320
41, 720, 2370
42, 725, 2425
43, 725, 2430
44, 720, 2470
45, 725, 2720
46, 720, 2720
47, 720, 2970
48, 720, 3220
