f;U_multi;U_osz;;;;
10;-0.001;-0.01;;;;
20;-0.001;-0.01;;;;93.8
40;0.002;0.01;;;;
60;0.007;0.011;;;;
80;0.014;0.017;;;;
100;0.022;0.024;;;;
200;0.097;0.101;;;;
300;0.232;0.234;;;;
400;0.431;0.433;;;;
500;0.701;0.706;;;;
600;1.032;1.04;;;;
700;1.389;1.4;;;;
800;1.705;1.71;;;;
900;1.914;1.92;;;;
1000;1.984;1.99;;;;
1500;1.237;1.24;;;;
2000;0.675;0.681;;;;
2500;0.412;0.416;;;;
3000;0.276;0.279;;;;
3500;0.197;0.197;;;;
4000;0.147;0.15;;;;
4500;0.114;0.117;;;;
5000;0.09;0.095;;;;
5500;0.073;0.076;;;;
6000;0.06;0.061;;;;
6500;0.05;0.05;;;;
7000;0.042;0.042;;;;
7500;0.035;0.037;;;;
8000;0.03;0.033;;;;
8500;0.026;0.028;;;;
9000;0.022;0.025;;;;
9500;0.019;0.022;;;;
10000;0.017;0.02;;;;
20000;-0.001;-0.01;;;;
30000;-0.004;-0.012;;;;
40000;-0.005;-0.012;;;;
50000;-0.005;-0.012;;;;
60000;-0.005;-0.013;;;;
70000;-0.005;-0.012;;;;
80000;-0.005;-0.012;;;;
90000;-0.005;-0.012;;;;
100000;-0.005;-0.012;;;;
550;0.86;0.868;;;;
650;1.211;1.22;;;;
750;1.558;1.56;;;;
850;1.827;1.83;;;;
950;1.964;1.97;;;;
1050;1.96;1.96;;;;
1150;1.845;1.85;;;;
1250;1.677;1.69;;;;
1350;1.492;1.5;;;;
1450;1.316;1.32;;;;
1550;1.157;1.17;;;;
1650;1.02;1.03;;;;
1750;0.9;0.907;;;;
1850;0.796;0.807;;;;
1950;0.709;0.718;;;;
