f;U_multi;U_osz;;;;
10;-0.001;-0.01;;;;
20;-0.002;-0.01;;;;93.8
40;-0.004;-0.011;;;;
60;-0.009;-0.015;;;;
80;-0.014;-0.02;;;;
100;-0.022;-0.028;;;;
200;-0.082;-0.089;;;;
300;-0.181;-0.182;;;;
400;-0.306;-0.315;;;;
500;-0.441;-0.452;;;;
600;-0.551;-0.561;;;;
700;-0.588;-0.597;;;;
800;-0.507;-0.515;;;;
900;-0.295;-0.303;;;;
1000;0.023;0.024;;;;
1500;1.329;1.32;;;;
2000;1.733;1.7;;;;
2500;1.857;1.89;;;;
3000;1.904;1.94;;;;
3500;1.924;1.95;;;;
4000;1.933;1.96;;;;
4500;1.936;1.97;;;;
5000;1.936;1.97;;;;
6000;1.933;1.96;;;;
7000;1.927;1.96;;;;
8000;1.919;1.95;;;;
9000;1.912;1.94;;;;
10000;1.954;1.99;;;;
20000;1.89;1.92;;;;
30000;1.83;1.86;;;;
40000;1.787;1.81;;;;
50000;1.753;1.78;;;;
60000;1.727;1.75;;;;
70000;1.706;1.74;;;;
80000;1.688;1.72;;;;
90000;1.67;1.7;;;;
100000;1.651;1.68;;;;
1100;0.366;0.396;;;;
1200;0.68;0.715;;;;
1300;0.95;0.978;;;;
1400;1.162;1.19;;;;
1500;1.329;1.36;;;;
1600;1.455;1.48;;;;
1700;1.553;1.58;;;;
1800;1.63;1.66;;;;
1900;1.689;1.72;;;;
2000;1.733;1.76;;;;
550;-0.502;-0.503;;;;
650;-0.582;-0.585;;;;
750;-0.564;-0.565;;;;
850;-0.416;-0.42;;;;
950;-0.15;-0.154;;;;
