f;U_multi;U_osz;;;;
10;1.949;1.95;;;;
20;1.956;1.95;;;;93.8
40;1.962;1.96;;;;
60;1.964;1.96;;;;
80;1.964;1.96;;;;
100;1.963;1.96;;;;
200;1.949;1.95;;;;
300;1.913;1.91;;;;
400;1.838;1.83;;;;
500;1.703;1.7;;;;
600;1.482;1.49;;;;
700;1.164;1.17;;;;
800;0.769;0.772;;;;
900;0.353;0.352;;;;
1000;-0.024;-0.024;;;;
1500;-0.574;-0.582;;;;
2000;-0.422;-0.432;;;;
2500;-0.29;-0.297;;;;
3000;-0.207;-0.207;;;;
3500;-0.154;-0.157;;;;
4000;-0.119;-0.118;;;;
4500;-0.094;-0.099;;;;
5000;-0.077;-0.083;;;;
5500;-0.063;-0.068;;;;
6000;-0.053;-0.056;;;;
6500;-0.046;-0.048;;;;
7000;-0.04;-0.042;;;;
7500;-0.035;-0.039;;;;
8000;-0.03;-0.036;;;;
8500;-0.027;-0.033;;;;
9000;-0.024;-0.03;;;;
9500;-0.021;-0.028;;;;
10000;-0.02;-0.025;;;;
20000;-0.006;-0.012;;;;
30000;-0.003;-0.01;;;;
40000;-0.002;-0.01;;;;
1100;-0.295;-0.303;;;;
1200;-0.46;-0.474;;;;
1300;-0.546;-0.556;;;;
1400;-0.577;-0.585;;;;
1500;-0.574;-0.583;;;;
1600;-0.553;-0.564;;;;
1700;-0.523;-0.529;;;;
1800;-0.488;-0.495;;;;
1900;-0.454;-0.468;;;;
2000;-0.422;-0.431;;;;
550;1.604;1.59;;;;
650;1.335;1.32;;;;
750;0.973;0.963;;;;
850;0.56;0.555;;;;
950;0.161;0.158;;;;
